Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
DDB-I-SF-S1-001-A6-RNAseq_S14	1717005	313324	229489173	499521	225330646	1.812079823042458
DDB-PD-003-AMBR-R9--S12-RNAseq_S7	4356777	1151151	596643787	1304460	511072650	14.34208129950744
DDB-PD-004-AMBR-R1--S02-RNAseq_S15	781544	44622	114090999	5920409	107993941	5.344030689046732
DDB-PD-004-AMBR-R1--S07-RNAseq_S16	1835428	321748	245751107	529216	241400207	1.7704498071701464
DDB-PD-004-AMBR-R6--S10-RNAseq_S17	1590846	285895	216627534	450127	211627479	2.3081345698188116
DDB-PD-004-AMBR-R7--S10-RNAseq_S18	2797697	488980	375154609	1548089	371585293	0.9514253362138488
DDB-PD-004-AMBR-R8--S10-RNAseq_S19	2155003	372913	291085417	627368	285751162	1.832539415741325
DDB-PD-006-AMBR-R2--S07-RNAseq_S21	1678290	316817	222976848	867189	220615480	1.0590193650956983
DDB-PD-006-AMBR-R2--S10-RNAseq2_S27	2757106	489067	378798680	1297695	375591258	0.8467352631746237
DDB-PD-006-AMBR-R4--S02-RNAseq_S20	2333527	402399	320471467	1122249	317724649	0.8571178038761248
DDB-PD-006-AMBR-R4--S07-RNAseq_S22	1710475	307336	233424326	801737	231492721	0.8275080121683632
DDB-PD-006-AMBR-R4--S10-RNAseq_S28	2823036	494583	384005087	1719552	380056423	1.0282842945775872
DDB-PD-006-AMBR-R5--S07-RNAseq2_S23	2175976	375445	295708419	1189686	292883801	0.9552037813302839
DDB-PD-006-AMBR-R5--S10-RNAseq_S8	2104974	338655	280737484	1068146	278387330	0.8371358062039197
DDB-PD-006-AMBR-R6--S07-RNAseq2_S24	2127810	359136	293285538	1363948	289110294	1.4236105975331113
DDB-PD-006-AMBR-R6--S10-RNAseq_S9	961526	166302	130526525	473201	129537264	0.7579003578008379
DDB-PD-006-AMBR-R7--S07-RNAseq2_S25	1973297	353283	267598311	1045529	264900567	1.0081319235232393
DDB-PD-006-AMBR-R7--S10-RNAseq_S10	969487	163618	130956975	531762	129925648	0.7875311719746123
DDB-PD-006-AMBR-R8--S09-RNAseq2_S26	2110368	372687	286717331	1104437	284009552	0.9444071589798665
DDB-PD-009-AMBR-R1--S02-RNAseq_S11	1233667	215916	167499095	704334	165961734	0.9178324217214426
DDB-PD-009-AMBR-R1--S07-RNAseq_S36	2835162	453788	394422108	2110359	390664288	0.95274071198869
DDB-PD-009-AMBR-R1--S10-RNAseq_S2	3300886	754081	433864597	1067700	401371829	7.489149431567932
DDB-PD-009-AMBR-R10--S03-RNAseq_S34	2730516	524062	379511201	950516	359992144	5.143209725712417
DDB-PD-009-AMBR-R10--S09-RNAseq_S44	2379331	491012	319737074	736001	302488578	5.394587429044903
DDB-PD-009-AMBR-R11--S03-RNAseq_S35	2456004	363523	341854001	1852800	338505026	0.9796506667183924
DDB-PD-009-AMBR-R11--S09-RNAseq_S1	3586375	466382	492493566	3549903	487381172	1.0380631043614486
DDB-PD-009-AMBR-R2--S02-RNAseq_S12	1795021	304499	244951760	552455	241116304	1.5658005478303156
DDB-PD-009-AMBR-R2--S07-RNAseq_S37	3221661	557424	436363843	3324279	430701328	1.2976590730043598
DDB-PD-009-AMBR-R2--S10-RNAseq_S3	3412222	433339	463836282	4809176	457335291	1.401570177298032
DDB-PD-009-AMBR-R4--S02-RNAseq_S13	3094989	558754	418529743	1561535	414738285	0.9058992971020461
DDB-PD-009-AMBR-R4--S07-RNAseq_S38	2790938	510028	383814914	913748	369780193	3.656637740762726
DDB-PD-009-AMBR-R4--S10-RNAseq_S4	2781172	453691	360972626	1982499	357209077	1.0426134085857246
DDB-PD-009-AMBR-R5--S02-RNAseq_S29	2780789	314900	401556490	10334106	390129008	2.8457968640975024
DDB-PD-009-AMBR-R5--S07-RNAseq_S39	2132011	359383	293221848	1457296	290408059	0.9596109632321804
DDB-PD-009-AMBR-R5--S10-RNAseq_S5	3405896	699870	455432292	1180656	427089587	6.22325326900623
DDB-PD-009-AMBR-R6--S02-RNAseq_S30	1870272	74160	277223511	1072703	274675342	0.9191749252465098
DDB-PD-009-AMBR-R6--S07-RNAseq_S40	1963959	47340	292299516	1198350	289955868	0.801796743310379
DDB-PD-009-AMBR-R6--S10-RNAseq_S6	3489718	583325	473713343	2149198	469785432	0.8291746597477622
DDB-PD-009-AMBR-R7--S02-RNAseq_S31	2084808	271420	297918916	968212	289569212	2.802676685356898
DDB-PD-009-AMBR-R7--S07-RNAseq_S41	2674248	469039	364462319	1721324	360541817	1.075694741436357
DDB-PD-009-AMBR-R8--S02-RNAseq_S32	2471781	419912	345554399	1529631	342292053	0.9440904267000808
DDB-PD-009-AMBR-R8--S07-RNAseq_S42	2987995	521028	408927355	1028022	395692294	3.2365310948689165
DDB-PD-009-AMBR-R9--S02-RNAseq_S33	2789945	471983	381052918	994303	370032578	2.892076002945082
DDB-PD-009-AMBR-R9--S07-RNAseq_S43	2944219	473348	388805266	2095853	384261125	1.1687447155101034
