Geneid,DDB-I-SF-S1-001-A3_S21,DDB-PD-003-AMBR-R10--S03-RNA_S2,DDB-PD-003-AMBR-R10--S07-RNA_S8,DDB-PD-003-AMBR-R10--S12-RNA_S13,DDB-PD-003-AMBR-R15--S03-RNA_S3,DDB-PD-003-AMBR-R15--S07-RNA_S9,DDB-PD-003-AMBR-R15--S12-RNA_S14,DDB-PD-003-AMBR-R16--S03-RNA_S4,DDB-PD-003-AMBR-R16--S07-RNA_S10,DDB-PD-003-AMBR-R16--S12-RNA_S15,DDB-PD-003-AMBR-R21--S03-RNA_S5,DDB-PD-003-AMBR-R21--S07-RNA_S11,DDB-PD-003-AMBR-R21--S12-RNA_S16,DDB-PD-003-AMBR-R22--S03-RNA_S6,DDB-PD-003-AMBR-R22--S07-RNA_S12,DDB-PD-003-AMBR-R22--S12-RNA_S17,DDB-PD-003-AMBR-R9--S03-RNA_S1,DDB-PD-003-AMBR-R9--S07-RNA_S7,DDB-PD-009-AMBR-R11--S11-RNA_S20,DDB-PD-009-AMBR-R7--S10-RNA_S18,DDB-PD-009-AMBR-R8--S10-RNA_S19
b0001,10.063401501358506,9.81487291610872,9.160943184022672,8.623167416016896,9.78938375184905,8.489535149060401,8.56020789825375,9.39041383255385,8.978001272480038,8.761028750188524,9.492991115539631,7.986988353795153,8.701133567555404,9.881083926468536,8.823160356358105,9.569170053995164,9.719832788576667,8.622263005821653,9.35156800264099,9.2217920762394,9.203172958186848
b0002,10.839754107885641,9.5392227375647,7.996604362324705,8.693442127778095,9.302592583636482,6.600580316650721,8.648030064179572,9.533916967653928,8.104357240088799,8.599441197345797,9.489767836318292,7.956538849994924,8.649378694684845,9.475984990966385,7.795537401102809,8.580773006145996,9.24026242687545,7.298004616095424,9.190496339117004,8.421963788920074,8.734007934804877
b0003,9.708510673007723,8.345178076831145,7.158183791563168,7.9646873744194115,8.600243171301228,6.267982274416682,7.921576534187565,8.599158134476111,7.379301037623773,7.896324564465243,8.443019627359467,7.214094996904489,7.7854873273897764,8.60765834853502,7.087779343172185,7.745613635027024,8.412746493824878,6.731049931734079,8.501547189168338,7.633726676375641,7.900247767389871
b0004,10.396030210474107,9.49830946791284,8.466278131135958,8.693131441841052,9.654516906750693,7.66666289272971,8.746828533286216,9.418386867703946,8.478685135325584,8.850353721815383,9.842961949625325,8.263921834687686,8.769208164148388,9.644863801337907,8.204430502719806,9.00020592986243,9.544582439728593,8.084336866252121,9.278615314181083,8.590145479491186,8.779550822062172
b0005,3.7065429006588264,3.874833480269387,1.690541473322913,3.881121586904608,4.186850210599156,0.0,2.717494046284551,3.884126862689761,3.7104085849678508,2.239819415141383,3.223857975880649,1.587637478735328,3.492090934385277,4.339753178439965,2.6520940719085107,2.922004211494908,3.8102362541335077,3.179944370929201,4.1112230313517255,2.5685535912112503,2.820037843050679
b0006,6.432665314397672,6.570711511166011,5.554079449575932,5.715453300941331,6.2272779701819925,4.974764101840833,5.597945630848126,6.396242358733198,5.4125087979501645,5.1454548094418495,6.4357997364458805,5.352743000381062,5.450004441799807,6.109730274682365,5.782583974550611,5.766551658317413,5.948453338664329,5.766049729455618,6.259189800291803,5.690212781063331,5.370969263807438
b0007,3.4985535135333157,3.0479649770155057,3.5403359028690717,2.9994222209382455,3.5244426889118987,4.131836097828933,2.5654981778111257,3.442196821716951,3.737390963511544,3.3608308947309538,2.4899049673716753,3.1552226607472624,3.2169513717133618,2.8058086462073497,3.405882667690248,3.4686078342365927,3.460023260678298,3.6035927617062895,3.792646522111591,3.5453794690842573,3.0650445378694675
b0008,10.80349370762019,10.213174538213485,9.771793154001212,10.031003210382172,10.224338056634279,9.63388131238595,10.121515057810338,10.16039940184659,9.860204699572645,10.138189706739677,10.217949212525719,9.863130810589336,10.117285428342418,10.247903390049183,9.749556939069798,10.133655059229516,10.236179391469275,9.721052622698597,10.844376564841546,10.018518464304151,10.276507761396909
b0009,5.926380807803063,6.048002895727055,5.523882257029587,5.9286793686157075,5.974552315387034,5.365659211327099,5.67252621999021,6.114034778737517,5.668794977554242,6.041849344141615,5.668611928266664,5.603233641410197,5.678884824636999,6.109730274682365,5.514760139394038,5.583103483697831,5.73942581749523,5.620328820733978,6.949079112889496,5.765100475853175,5.440561787451279
b0010,4.206171437661878,4.703895125287979,4.7990574474843655,4.411064750304758,4.438547334229522,0.0,4.731324198547511,4.731395195741592,4.856509798705787,4.919107576027979,4.207907916106543,4.460133673333505,4.880739472810836,4.565956483777556,5.09697718824777,4.54842858703403,4.296660833109714,4.933729014187557,5.256844177569346,4.89664072725426,4.115180746598631
b0011,1.8697713631567792,2.1871372520416332,2.4940070324149524,1.6217496068879478,2.1274057278712455,0.0,1.731168735476321,2.507106430820578,1.6301514298341282,1.349818547901631,1.4516285069943151,2.3705112614639985,1.4360396354501723,1.585778311343576,1.6774906352497219,2.3518978156074954,2.025341764359285,1.6941584583434992,2.6521781929266393,1.7418736457471309,1.816193716976931
