Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
DDB-I-SF-S1-001-A7	73.81846583991417	3665123	93.56	4645409.0	4.577639556960609	76.6496459554439	51.0	144.66808746499783	27.27272727272727	4965049.0
DDB-PD-038-AMBR-R10-S03	77.31371287828784	4406543	92.84	5291376.0	5.722751146729903	81.97327112768573	51.0	142.6327796767541	18.181818181818183	5699562.0
DDB-PD-038-AMBR-R10-S07	76.69851690214652	3228779	93.31	3928148.0	6.238385752527797	78.4673429617131	51.0	142.22951339548501	27.27272727272727	4209702.0
DDB-PD-038-AMBR-R11-S03	77.81980848216598	4568471	93.69	5500120.0	6.247469558132688	81.81919593929493	51.0	142.4316291961811	18.181818181818183	5870576.0
DDB-PD-038-AMBR-R11-S07	72.85390579542175	3850165	92.89	4909259.0	6.324616808578526	80.52452630253748	51.0	142.27682446272547	27.27272727272727	5284775.0
DDB-PD-038-AMBR-R11-S11	73.88775813143444	3797915	93.86	4824374.0	5.806623942900972	80.77275134817228	51.0	143.09004469550675	27.27272727272727	5140114.0
DDB-PD-038-AMBR-R12-S03	76.92178960946224	3994307	93.52	4856313.0	5.347074114464294	81.37443681981009	51.0	142.9012270335622	27.27272727272727	5192686.0
DDB-PD-038-AMBR-R12-S07	74.67543716318237	3948634	93.64	4951187.0	5.226488943407537	82.32933103286452	51.0	143.1653838851015	27.27272727272727	5287728.0
DDB-PD-038-AMBR-R12-S11	72.70066165152073	3788249	93.68	4881534.0	5.690677334500671	82.84621796043328	50.0	143.1222173626095	36.36363636363637	5210749.0
DDB-PD-038-AMBR-R5-S03	74.87830943872392	2791387	94.31	3515688.0	12.33365166468934	72.36231294816646	51.0	132.24010769607966	9.090909090909092	3727898.0
DDB-PD-038-AMBR-R5-S07	70.75041609969087	2600220	94.33	3466991.0	14.48004758800547	71.3771766309415	50.0	130.05504215959888	27.27272727272727	3675201.0
DDB-PD-038-AMBR-R5-S11	72.63459333732396	3078448	94.7	4013661.0	13.892908044640567	73.84208459059994	50.0	131.48045604488817	27.27272727272727	4238267.0
DDB-PD-038-AMBR-R6-S03	74.59448620346386	3344267	94.42	4232902.0	13.755939980600058	74.28060048645467	51.0	131.2565176301279	18.181818181818183	4483263.0
DDB-PD-038-AMBR-R6-S07	72.80585059009735	2861168	94.54	3715444.0	11.506965717587313	76.25443725347449	51.0	134.10122650679668	27.27272727272727	3929860.0
DDB-PD-038-AMBR-R6-S11	73.50620245936096	2556409	94.43	3284266.0	11.502491663665229	74.43138834123855	50.0	133.5617324560773	27.27272727272727	3477814.0
DDB-PD-038-AMBR-R7-S03	78.27081928650689	4141954	94.15	4982256.0	10.214766209475217	78.27359852610516	51.0	135.53360202455713	18.181818181818183	5291824.0
DDB-PD-038-AMBR-R7-S07	63.72796724518556	2637308	94.49	3910550.0	11.888682128151675	75.49784826486692	51.0	133.08135325286392	27.27272727272727	4138384.0
DDB-PD-038-AMBR-R7-S11	74.8779677096412	4926679	93.86	6175880.0	6.751424859871946	79.88189225128372	50.0	141.30180294853298	27.27272727272727	6579611.0
DDB-PD-038-AMBR-R8-S03	77.83254538091327	3826504	92.43	4544367.0	6.445664584482741	76.5459029811031	51.0	141.38273516682875	18.181818181818183	4916329.0
DDB-PD-038-AMBR-R8-S07	75.34415445792462	4164618	93.97	5194414.0	6.001031945642195	81.11699828719905	50.0	142.39307403400477	36.36363636363637	5527460.0
DDB-PD-038-AMBR-R8-S11	75.06569106205828	4173169	93.77	5213088.0	5.595105262451397	78.27737693470172	50.0	142.6604275747047	27.27272727272727	5559356.0
DDB-PD-038-AMBR-R9-S03	76.08574509389028	3297350	93.08	4033796.0	5.553250136917288	77.39975291531886	51.0	142.73446239947168	18.181818181818183	4333729.0
DDB-PD-038-AMBR-R9-S07	75.12299289899231	3244218	93.58	4041299.0	6.727976776359107	79.72607217780788	51.0	141.7524039363285	36.36363636363637	4318542.0
