Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
DDB-I-SF-S1-001-A7	4980626	1899912	752074526	5737527	717647265	4.577639556960609
DDB-PD-038-AMBR-R10-S03	5711106	2330934	862377006	8530610	813025316	5.722751146729903
DDB-PD-038-AMBR-R10-S07	4225125	1801054	637993875	6084586	598193356	6.238385752527797
DDB-PD-038-AMBR-R11-S03	5901369	2619278	891106719	7618382	835435098	6.247469558132688
DDB-PD-038-AMBR-R11-S07	5308933	2419859	801648883	6268835	750947663	6.324616808578526
DDB-PD-038-AMBR-R11-S11	5166729	2228405	780176079	5927044	734874188	5.806623942900972
DDB-PD-038-AMBR-R12-S03	5211515	2311955	786938765	7326412	744860566	5.347074114464294
DDB-PD-038-AMBR-R12-S07	5338981	2329995	806186131	5439874	764050902	5.226488943407537
DDB-PD-038-AMBR-R12-S11	5237844	2260749	790914444	5792203	745906055	5.690677334500671
DDB-PD-038-AMBR-R5-S03	3786300	2113947	571731300	7402603	501215953	12.33365166468934
DDB-PD-038-AMBR-R5-S07	3698667	2148329	558498717	5576944	477627837	14.48004758800547
DDB-PD-038-AMBR-R5-S11	4285671	2411019	647136321	6118905	557230267	13.892908044640567
DDB-PD-038-AMBR-R6-S03	4517587	2552624	682155637	7081602	588318717	13.755939980600058
DDB-PD-038-AMBR-R6-S07	3944650	2093094	595642150	5678695	527101812	11.506965717587313
DDB-PD-038-AMBR-R6-S11	3505642	1923147	529351942	5319980	468463279	11.502491663665229
DDB-PD-038-AMBR-R7-S03	5311023	2773972	801964473	7970538	720045677	10.214766209475217
DDB-PD-038-AMBR-R7-S07	4160180	2296964	628187180	6233179	553504003	11.888682128151675
DDB-PD-038-AMBR-R7-S11	6599393	3070234	996508343	8988895	929229831	6.751424859871946
DDB-PD-038-AMBR-R8-S03	4927015	2283488	743979265	6606242	696024857	6.445664584482741
DDB-PD-038-AMBR-R8-S07	5545854	2423261	837423954	7081455	787169875	6.001031945642195
DDB-PD-038-AMBR-R8-S11	5577858	2520133	842256558	7658087	795131417	5.595105262451397
DDB-PD-038-AMBR-R9-S03	4343416	1903530	655855816	5109075	619434502	5.553250136917288
DDB-PD-038-AMBR-R9-S07	4346895	1915972	656381145	6044523	612219974	6.727976776359107
