Sample	pe_sense	pe_antisense	failed
DDB__HMP3397_fast_batch_12h__1	0.0303	0.1251	0.8446
DDB__HMP3397_fast_batch_12h__2	0.0288	0.4326	0.5386
DDB__HMP3397_fast_feed_18h__1	0.029	0.3173	0.6537
DDB__HMP3397_fast_feed_18h__2	0.0336	0.438	0.5284
DDB__HMP3397_fast_feed_28h__1	0.0449	0.3374	0.6177
DDB__HMP3397_fast_feed_28h__2	0.0348	0.2194	0.7459
DDB__HMP3397_fast_feed_3h__1	0.0301	0.3076	0.6623
DDB__HMP3397_fast_feed_3h__2	0.0362	0.3536	0.6101
DDB__HMP3397_slow_batch_12h__1	0.0307	0.2882	0.6812
DDB__HMP3397_slow_batch_12h__2	0.0263	0.4475	0.5263
DDB__HMP3397_slow_feed_53h__1	0.0335	0.3263	0.6402
DDB__HMP3397_slow_feed_53h__2	0.0594	0.2402	0.7004
DDB__HMP3397_slow_feed_7h__1	0.0378	0.3209	0.6413
DDB__HMP3397_slow_feed_7h__2	0.0401	0.3363	0.6236
DDB__HMP3397_slow_feed_86h__1	0.0548	0.3547	0.5905
DDB__HMP3397_slow_feed_86h__2	0.0477	0.2365	0.7158
DDB__HMP3427_fast_batch_12h__1	0.0306	0.3024	0.667
DDB__HMP3427_fast_batch_12h__2	0.0268	0.3849	0.5883
DDB__HMP3427_fast_feed_18h__1	0.0285	0.3251	0.6463
DDB__HMP3427_fast_feed_18h__2	0.0271	0.4346	0.5383
DDB__HMP3427_fast_feed_28h__1	0.0437	0.2918	0.6645
DDB__HMP3427_fast_feed_28h__2	0.0435	0.2964	0.6602
DDB__HMP3427_fast_feed_3h__1	0.1009	0.1862	0.7129
DDB__HMP3427_fast_feed_3h__2	0.024	0.3444	0.6316
DDB__HMP3427_slow_batch_12h__1	0.0267	0.2934	0.6799
DDB__HMP3427_slow_batch_12h__2	0.0258	0.3434	0.6309
DDB__HMP3427_slow_feed_53h__1	0.0355	0.363	0.6014
DDB__HMP3427_slow_feed_53h__2	0.0348	0.3929	0.5723
DDB__HMP3427_slow_feed_7h__1	0.0356	0.2943	0.6701
DDB__HMP3427_slow_feed_7h__2	0.0215	0.1318	0.8467
DDB__HMP3427_slow_feed_86h__1	0.03	0.3602	0.6098
DDB__HMP3427_slow_feed_86h__2	0.0353	0.23	0.7348
DDB__MG1655_control_A__1	0.0291	0.3364	0.6345
DDB__MG1655_control_A__2	0.0317	0.126	0.8423
DDB__MG1655_control_B__1	0.0372	0.3782	0.5846
DDB__MG1655_control_B__2	0.0302	0.4113	0.5585
