Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
DDB__HMP3397_fast_batch_12h__1	11827680	2229645	1627964791	3887502	1618604816	0.5749494738304817
DDB__HMP3397_fast_batch_12h__2	13378276	2815298	1773471902	10102346	1755277086	1.025943291206426
DDB__HMP3397_fast_feed_18h__1	12342893	2725830	1629945591	8695993	1613834552	0.9884402945079656
DDB__HMP3397_fast_feed_18h__2	12936978	2483285	1715568285	2996669	1704510872	0.6445335400916438
DDB__HMP3397_fast_feed_28h__1	11911460	2647556	1477355112	7188370	1460821060	1.119165721612909
DDB__HMP3397_fast_feed_28h__2	14201579	2649306	1815464030	3661885	1794885423	1.1335177486276058
DDB__HMP3397_fast_feed_3h__1	13736459	2431625	1802903445	3723168	1788596395	0.7935560853066095
DDB__HMP3397_fast_feed_3h__2	14091863	3008829	1813302482	12667012	1791157242	1.2212656310697092
DDB__HMP3397_slow_batch_12h__1	13887698	2367945	1826788541	3141633	1815105761	0.639525579331954
DDB__HMP3397_slow_batch_12h__2	14299503	2884410	1931791876	9692014	1914457767	0.8973072728669038
DDB__HMP3397_slow_feed_53h__1	12276590	2629945	1613702758	10423158	1595679103	1.1169129451286468
DDB__HMP3397_slow_feed_53h__2	513665	103037	66055762	822425	64893545	1.7594483279142248
DDB__HMP3397_slow_feed_7h__1	12787193	2828877	1626909718	10314415	1607920822	1.167175768262268
DDB__HMP3397_slow_feed_7h__2	11673158	2171140	1482704025	3834014	1469452942	0.8937105974336313
DDB__HMP3397_slow_feed_86h__1	7596135	1781650	929282495	11061538	912142433	1.8444404249754
DDB__HMP3397_slow_feed_86h__2	14645552	2898658	1809289674	3720873	1788090751	1.1716710322639026
DDB__HMP3427_fast_batch_12h__1	12400794	2624523	1634410133	7183881	1619819936	0.8926888487419823
DDB__HMP3427_fast_batch_12h__2	13241159	2699151	1764093950	9042597	1747467798	0.9424754276834292
DDB__HMP3427_fast_feed_18h__1	12147283	2602851	1607147951	6902778	1593087190	0.8748890225850774
DDB__HMP3427_fast_feed_18h__2	14352687	2674101	1924625159	3283638	1911055221	0.7050691370495589
DDB__HMP3427_fast_feed_28h__1	14160713	2723506	1737841607	4087082	1716906818	1.204643099559533
DDB__HMP3427_fast_feed_28h__2	10916189	2514999	1348014206	11514176	1327384485	1.5303786049269572
DDB__HMP3427_fast_feed_3h__1	232312	129165	29986934	217314	14088058	53.019345025403396
DDB__HMP3427_fast_feed_3h__2	14397507	2975492	1927810503	9068553	1910663409	0.8894595175882803
DDB__HMP3427_slow_batch_12h__1	13573134	2737099	1809653251	6391423	1795929683	0.7583534576260101
DDB__HMP3427_slow_batch_12h__2	14123299	2944358	1892184485	9178682	1875396735	0.887215286515786
DDB__HMP3427_slow_feed_53h__1	12644011	2738304	1659054864	10760079	1640252577	1.1333131536510779
DDB__HMP3427_slow_feed_53h__2	14439009	2933028	1913254489	8819648	1895795894	0.912507724423272
DDB__HMP3427_slow_feed_7h__1	12256511	2277846	1528140594	5139762	1511155937	1.1114590546633958
DDB__HMP3427_slow_feed_7h__2	14117273	2753898	1919654798	4059301	1908584436	0.5766850379314916
DDB__HMP3427_slow_feed_86h__1	12727859	2296862	1690714621	2663673	1679362467	0.6714411680716164
DDB__HMP3427_slow_feed_86h__2	14112841	2784032	1791933267	3230502	1776765871	0.8464263864799381
DDB__MG1655_control_A__1	14657101	3097234	1914502778	12731480	1892951130	1.1257047128714064
DDB__MG1655_control_A__2	19995311	3887515	2774066555	6423013	2758533624	0.55993360981204
DDB__MG1655_control_B__1	13978165	2813571	1789665265	12145968	1768648097	1.1743630728621197
DDB__MG1655_control_B__2	15304757	2911174	2007481619	3656968	1987573572	0.9916926168378531
