Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
DDB__HMP3397_fast_batch_12h__1	11812336.0	11316784.0	95.8	495552.0	4.2
DDB__HMP3397_fast_batch_12h__2	13298494.0	10317355.0	77.58	2981139.0	22.42
DDB__HMP3397_fast_feed_18h__1	12284145.0	9310245.0	75.79	2973900.0	24.21
DDB__HMP3397_fast_feed_18h__2	12846791.0	8718012.0	67.86	4128779.0	32.14
DDB__HMP3397_fast_feed_28h__1	11810572.0	10773488.0	91.22	1037084.0	8.78
DDB__HMP3397_fast_feed_28h__2	14075952.0	13066854.0	92.83	1009098.0	7.17
DDB__HMP3397_fast_feed_3h__1	13656387.0	11014035.0	80.65	2642352.0	19.35
DDB__HMP3397_fast_feed_3h__2	13983423.0	10819313.0	77.37	3164110.0	22.63
DDB__HMP3397_slow_batch_12h__1	13818405.0	11646698.0	84.28	2171707.0	15.72
DDB__HMP3397_slow_batch_12h__2	14230948.0	10923379.0	76.76	3307569.0	23.24
DDB__HMP3397_slow_feed_53h__1	12191408.0	8992780.0	73.76	3198628.0	26.24
DDB__HMP3397_slow_feed_53h__2	465478.0	362347.0	77.84	103131.0	22.16
DDB__HMP3397_slow_feed_7h__1	12691797.0	10364178.0	81.66	2327619.0	18.34
DDB__HMP3397_slow_feed_7h__2	11569741.0	9381047.0	81.08	2188694.0	18.92
DDB__HMP3397_slow_feed_86h__1	7473774.0	6694533.0	89.57	779241.0	10.43
DDB__HMP3397_slow_feed_86h__2	14515547.0	13600756.0	93.7	914791.0	6.3
DDB__HMP3427_fast_batch_12h__1	12342934.0	10335828.0	83.74	2007106.0	16.26
DDB__HMP3427_fast_batch_12h__2	13180986.0	10501160.0	79.67	2679826.0	20.33
DDB__HMP3427_fast_feed_18h__1	12092511.0	9142019.0	75.6	2950492.0	24.4
DDB__HMP3427_fast_feed_18h__2	14262871.0	10140338.0	71.1	4122533.0	28.9
DDB__HMP3427_fast_feed_28h__1	14062033.0	12792249.0	90.97	1269784.0	9.03
DDB__HMP3427_fast_feed_28h__2	10792270.0	9710073.0	89.97	1082197.0	10.03
DDB__HMP3427_fast_feed_3h__1	123863.0	90062.0	72.71	33801.0	27.29
DDB__HMP3427_fast_feed_3h__2	14335467.0	10894979.0	76.0	3440488.0	24.0
DDB__HMP3427_slow_batch_12h__1	13528699.0	11320792.0	83.68	2207907.0	16.32
DDB__HMP3427_slow_batch_12h__2	14061219.0	11536497.0	82.04	2524722.0	17.96
DDB__HMP3427_slow_feed_53h__1	12564845.0	8926303.0	71.04	3638542.0	28.96
DDB__HMP3427_slow_feed_53h__2	14358948.0	9930934.0	69.16	4428014.0	30.84
DDB__HMP3427_slow_feed_7h__1	12114216.0	10008064.0	82.61	2106152.0	17.39
DDB__HMP3427_slow_feed_7h__2	14103887.0	13525914.0	95.9	577973.0	4.1
DDB__HMP3427_slow_feed_86h__1	12666526.0	9453853.0	74.64	3212673.0	25.36
DDB__HMP3427_slow_feed_86h__2	14010848.0	11548199.0	82.42	2462649.0	17.58
DDB__MG1655_control_A__1	14575887.0	14006778.0	96.1	569109.0	3.9
DDB__MG1655_control_A__2	19974323.0	19288375.0	96.57	685948.0	3.43
DDB__MG1655_control_B__1	13805046.0	13334282.0	96.59	470764.0	3.41
DDB__MG1655_control_B__2	15170945.0	14606409.0	96.28	564536.0	3.72
