Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
DDB__HMP3397_fast_batch_12h__1	2.2396586077470197	264556	95.8	11316784.0	0.5749494738304817	95.46293369026617	54.0	137.3051788401549	18.181818181818183	11812336.0
DDB__HMP3397_fast_batch_12h__2	49.657006274545076	6603634	77.58	10317355.0	1.025943291206426	84.93172141112049	51.0	131.9491633413528	27.27272727272727	13298494.0
DDB__HMP3397_fast_feed_18h__1	22.879484082937804	2810549	75.79	9310245.0	0.9884402945079656	88.32202323942313	51.0	131.52173643342698	27.27272727272727	12284145.0
DDB__HMP3397_fast_feed_18h__2	32.33925110169536	4154556	67.86	8718012.0	0.6445335400916438	87.22306214177353	50.0	132.15640372759236	27.27272727272727	12846791.0
DDB__HMP3397_fast_feed_28h__1	15.92625657758151	1880982	91.22	10773488.0	1.119165721612909	89.57190583523625	52.0	123.55024625394942	18.181818181818183	11810572.0
DDB__HMP3397_fast_feed_28h__2	9.342913360318365	1315104	92.83	13066854.0	1.1335177486276058	91.71812876449546	53.0	126.67327304043094	27.27272727272727	14075952.0
DDB__HMP3397_fast_feed_3h__1	30.879397310577094	4217010	80.65	11014035.0	0.7935560853066095	87.17932101692655	51.0	130.72227427356884	18.181818181818183	13656387.0
DDB__HMP3397_fast_feed_3h__2	37.49107782836864	5242536	77.37	10819313.0	1.2212656310697092	85.91136851320286	51.0	128.09183266500628	18.181818181818183	13983423.0
DDB__HMP3397_slow_batch_12h__1	30.871681644878695	4265974	84.28	11646698.0	0.639525579331954	87.13998385895061	52.0	131.06779834575698	18.181818181818183	13818405.0
DDB__HMP3397_slow_batch_12h__2	50.88272404621252	7241094	76.76	10923379.0	0.8973072728669038	85.48448667151293	50.0	134.60616221772435	27.27272727272727	14230948.0
DDB__HMP3397_slow_feed_53h__1	23.76994519418922	2897891	73.76	8992780.0	1.1169129451286468	86.41877968329058	51.0	130.715630138865	18.181818181818183	12191408.0
DDB__HMP3397_slow_feed_53h__2	22.1735506296753	103213	77.84	362347.0	1.7594483279142248	65.72750765075355	52.0	125.71183815346805	18.181818181818183	465478.0
DDB__HMP3397_slow_feed_7h__1	25.024494167374407	3176058	81.66	10364178.0	1.167175768262268	87.23677143448732	52.0	126.80396857907513	27.27272727272727	12691797.0
DDB__HMP3397_slow_feed_7h__2	27.520278975994362	3184025	81.08	9381047.0	0.8937105974336313	85.06494205776511	52.0	126.45839349385608	18.181818181818183	11569741.0
DDB__HMP3397_slow_feed_86h__1	14.430661135859873	1078515	89.57	6694533.0	1.8444404249754	87.49023764142349	52.0	121.36075361657979	36.36363636363637	7473774.0
DDB__HMP3397_slow_feed_86h__2	7.4184596694840375	1076830	93.7	13600756.0	1.1716710322639026	92.51665749949677	53.0	122.60305195525874	27.27272727272727	14515547.0
DDB__HMP3427_fast_batch_12h__1	33.25808920310195	4105024	83.74	10335828.0	0.8926888487419823	86.15363480514614	51.0	131.37089439188446	18.181818181818183	12342934.0
