Sample	mRNA-sense	mRNA-antisense	rRNA-sense	rRNA-antisense	tRNA-sense	tRNA-antisense	ncRNA-sense	ncRNA-antisense	unannotated	total-reads	unaligned
DDB1__HMP3396_03_M1_5h_fixedVol__1	2374102	49460	1632195	49460	0	0	296763	0	544065	6171634	1225589
DDB1__HMP3396_03_M1_5h_fixedconc__1	1438977	30617	949113	91850	30617	0	183699	0	367398	3777793	685522
DDB1__HMP3396_03_M2_72h_fixedVol__1	908387	0	3633547	53435	0	0	427476	0	267173	7568199	2278181
DDB1__HMP3396_03_M2_72h_fixedconc__1	921225	40053	2283037	120160	0	0	400533	0	280373	5835589	1790208
DDB1__HMP3396_11_M1_5h_fixedconc__1	3123583	54800	1150794	54800	54800	0	383598	0	712396	6895382	1360611
DDB1__HMP3396_11_M2_16h_fixedVol__1	1664172	0	2845197	53683	0	0	375781	0	429464	6965394	1597097
DDB1__HMP3396_11_M2_16h_fixedconc__1	2129286	62626	3006051	125252	0	0	438382	0	563635	8541781	2216549
DDB1__HMP3397_03_M1_5h_fixedconc__1	2868623	53123	1274944	106245	53123	0	371859	0	690594	6585059	1166548
DDB1__HMP3397_03_M2_72h_fixedVol__1	1330966	41593	1580523	83185	0	0	623890	0	499112	6329153	2169884
DDB1__HMP3397_03_M2_72h_fixedconc__1	1282215	0	2465798	49316	0	0	641107	0	443844	7115054	2232774
DDB1__HMP3397_11_M1_5h_fixedconc__1	3593550	74866	2545431	74866	0	0	449194	0	748656	9362624	1876061
DDB1__HMP3397_11_M2_16h_fixedVol__1	2602994	57844	1677485	115689	0	0	578443	0	751976	7905003	2120572
DDB1__HMP3397_11_M2_16h_fixedconc__1	1576519	47773	2197571	95547	0	0	382186	0	477733	6149754	1372425
DDB1__HMP3427_03_M1_5h_fixedconc__1	2316409	49285	1675700	98571	0	0	295712	0	542138	6064413	1086598
DDB1__HMP3427_03_M2_72h_fixedVol__1	1311123	0	2622246	104890	0	0	734229	0	472004	7681074	2436582
DDB1__HMP3427_03_M2_72h_fixedconc__1	504700	0	3624666	45882	0	0	229409	0	183527	6109345	1521161
DDB1__HMP3427_11_M1_5h_fixedVol__1	2307833	39790	835595	39790	39790	0	238741	0	437693	5018111	1078879
DDB1__HMP3427_11_M1_5h_fixedconc__1	3407141	74068	2592390	74068	0	0	444410	0	740683	9219431	1886671
DDB1__HMP3427_11_M2_16h_fixedVol__1	2998318	57660	1499159	57660	0	0	461280	0	634260	8417209	2708872
DDB1__HMP3427_11_M2_16h_fixedconc__1	1352286	0	1909109	39773	0	0	318185	0	318185	5510187	1572649
