Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
DDB1__HMP3396_03_M1_5h_fixedVol__1	6207681	1273788	842086292	5268847	833373276	1.0346939598442009
DDB1__HMP3396_03_M1_5h_fixedconc__1	3821132	750492	488514808	3224126	482591308	1.2125528035170636
DDB1__HMP3396_03_M2_72h_fixedVol__1	7605588	1561459	1024039374	5349235	1013901615	0.9899774615502236
DDB1__HMP3396_03_M2_72h_fixedconc__1	5878654	1088509	755404622	2306380	748115778	0.9648926929652808
DDB1__HMP3396_11_M1_5h_fixedconc__1	6933995	1193599	947225135	2797774	940271161	0.7341416251586271
DDB1__HMP3396_11_M2_16h_fixedVol__1	6992748	1191703	955813814	2478182	949040127	0.7086826849313563
DDB1__HMP3396_11_M2_16h_fixedconc__1	8598891	1700596	1142469130	8451942	1124012335	1.6155180490522312
DDB1__HMP3397_03_M1_5h_fixedconc__1	6625771	1183763	880940731	2738496	872616328	0.9449447286369144
DDB1__HMP3397_03_M2_72h_fixedVol__1	6377811	1372937	841152546	5563209	829223328	1.4181991193782821
DDB1__HMP3397_03_M2_72h_fixedconc__1	7164625	1244305	965811470	2719521	956150981	1.0002458347279723
DDB1__HMP3397_11_M1_5h_fixedconc__1	9404069	1598212	1285208788	3561611	1276057398	0.7120547326976417
DDB1__HMP3397_11_M2_16h_fixedVol__1	7955125	1454757	1055651341	3462303	1045927272	0.9211440010854872
DDB1__HMP3397_11_M2_16h_fixedconc__1	6188155	1317740	801032648	4420407	792081472	1.1174545784555838
DDB1__HMP3427_03_M1_5h_fixedconc__1	6109899	1199091	821914378	4720812	813612719	1.0100393936654068
DDB1__HMP3427_03_M2_72h_fixedVol__1	7731676	1389053	1032520207	3278589	1023449607	0.8784912816723209
DDB1__HMP3427_03_M2_72h_fixedconc__1	6137924	987721	838013130	2341686	832614231	0.644249929592392
DDB1__HMP3427_11_M1_5h_fixedVol__1	5067082	1030186	688792318	5937916	679980651	1.2792922873451675
DDB1__HMP3427_11_M1_5h_fixedconc__1	9282019	1659469	1234875686	4153344	1222970842	0.9640520203747862
DDB1__HMP3427_11_M2_16h_fixedVol__1	8457298	1524624	1132912645	2890590	1124699489	0.7249593370016626
DDB1__HMP3427_11_M2_16h_fixedconc__1	5542738	959569	753445960	2137534	747490483	0.7904318711855592
