Sample	pe_sense	pe_antisense	failed
DDB1__HMP3396_03_M1_5h_fixedVol__1	0.0131	0.9832	0.0037
DDB1__HMP3396_03_M1_5h_fixedconc__1	0.0123	0.9821	0.0056
DDB1__HMP3396_03_M2_72h_fixedVol__1	0.0164	0.9783	0.0054
DDB1__HMP3396_03_M2_72h_fixedconc__1	0.0203	0.972	0.0077
DDB1__HMP3396_11_M1_5h_fixedconc__1	0.0112	0.9839	0.0049
DDB1__HMP3396_11_M2_16h_fixedVol__1	0.0118	0.9834	0.0048
DDB1__HMP3396_11_M2_16h_fixedconc__1	0.0146	0.9802	0.0052
DDB1__HMP3397_03_M1_5h_fixedconc__1	0.0144	0.9807	0.0048
DDB1__HMP3397_03_M2_72h_fixedVol__1	0.0166	0.9766	0.0068
DDB1__HMP3397_03_M2_72h_fixedconc__1	0.0179	0.975	0.0071
DDB1__HMP3397_11_M1_5h_fixedconc__1	0.0135	0.9822	0.0043
DDB1__HMP3397_11_M2_16h_fixedVol__1	0.0133	0.9819	0.0049
DDB1__HMP3397_11_M2_16h_fixedconc__1	0.0143	0.9791	0.0066
DDB1__HMP3427_03_M1_5h_fixedconc__1	0.0117	0.9832	0.0051
DDB1__HMP3427_03_M2_72h_fixedVol__1	0.0141	0.979	0.007
DDB1__HMP3427_03_M2_72h_fixedconc__1	0.0164	0.9773	0.0063
DDB1__HMP3427_11_M1_5h_fixedVol__1	0.0118	0.9838	0.0044
DDB1__HMP3427_11_M1_5h_fixedconc__1	0.0146	0.9804	0.005
DDB1__HMP3427_11_M2_16h_fixedVol__1	0.0135	0.9817	0.0048
DDB1__HMP3427_11_M2_16h_fixedconc__1	0.0126	0.9824	0.005
