Sample,Total,Assigned,Unassigned_rRNA,Unassigned_Unmapped,Unassigned_Read_Type,Unassigned_Singleton,Unassigned_MappingQuality,Unassigned_Chimera,Unassigned_FragmentLength,Unassigned_Duplicate,Unassigned_MultiMapping,Unassigned_Secondary,Unassigned_NonSplit,Unassigned_NoFeatures,Unassigned_Overlapping_Length,Unassigned_Ambiguity,percent_assigned,reads_processed,reads_aligned,reads_aligned_percentage,not_aligned,not_aligned_percentage,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content,per_tile_sequence_quality,r_processed,r_with_adapters,r_written,bp_processed,quality_trimmed,bp_written,percent_trimmed,pe_sense,pe_antisense,failed,se_sense,se_antisense
ecoli_00011,10673671,8461693,1930,159726,0,0,0,0,10786,0,0,0,0,1343355,357848,338333,79.27631458754912,10673671.0,10513945.0,98.5,159726.0,1.5,ecoli_00011_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10673671.0,0.0,20-31,51.0,17.77210659410987,30.444935205516447,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,,10705755,1419747,10705755,331878405,6638143,323503075,2.523614032675612,0.0305,0.4652,0.5043,,
ecoli_00012,10810317,8632968,1252,130681,0,0,0,0,10009,0,0,0,0,1343100,358167,334140,79.85860174128103,10810317.0,10679636.0,98.79,130681.0,1.21,ecoli_00012_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10810317.0,0.0,20-31,53.0,19.018822726524263,30.321298256101088,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,,10835549,1405070,10835549,335902019,6158300,328032197,2.3428921396271813,0.0303,0.46299999999999997,0.5067,,
ecoli_00013,7211277,3276584,427,3142439,0,0,0,0,3787,0,0,0,0,538397,172835,76808,45.43694549522922,7211277.0,4068838.0,56.42,3142439.0,43.58,ecoli_00013_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7211277.0,0.0,20-31,52.0,86.59319848987231,28.95725347951549,pass,fail,warn,fail,pass,pass,warn,pass,pass,pass,,8328676,1820123,8328676,258188956,36639356,219216620,15.094501563420858,0.034,0.4595,0.5065,,
ecoli_00014,9709633,6542009,729,1565155,0,0,0,0,6218,0,0,0,0,1123014,351594,120914,67.37648065586001,9709633.0,8144478.0,83.88,1565155.0,16.12,ecoli_00014_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9709633.0,0.0,20-31,50.0,15.908644898043239,29.93153489941381,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,,10233764,4370518,10233764,317246684,20085857,291346029,8.1642003860945,0.0299,0.4743,0.4959,,
ecoli_00015,10675400,8483327,2266,179822,0,0,0,0,9183,0,0,0,0,1343312,363704,293786,79.46612773291865,10675400.0,10495578.0,98.32,179822.0,1.68,ecoli_00015_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10675400.0,0.0,20-31,51.0,16.829353569016238,30.41218951983064,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,,10711415,1446643,10711415,332053865,6743989,323536231,2.5651362317375828,0.0302,0.46299999999999997,0.5068,,
ecoli_00016,8610540,6742381,816,144587,0,0,0,0,15976,0,0,0,0,1105722,415622,185436,78.30381137536091,8610540.0,8465953.0,98.32,144587.0,1.68,ecoli_00016_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8610540.0,0.0,20-31,52.0,22.48787667438281,29.877811496143106,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,,8635899,3565929,8635899,267712869,5353680,257513460,3.809831420543328,0.032,0.4614,0.5066,,
ecoli_00017,10980944,8703609,1068,183774,0,0,0,0,14522,0,0,0,0,1371136,365483,341352,79.26102710295217,10980944.0,10797170.0,98.33,183774.0,1.67,ecoli_00017_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10980944.0,0.0,20-31,53.0,20.18965242104708,30.29063912902205,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,,11011905,1453377,11011905,341369055,6629177,332960940,2.4630571742948404,0.0294,0.4648,0.5058,,
ecoli_00018,9904977,7917427,2027,152833,0,0,0,0,11249,0,0,0,0,1177195,323031,321215,79.93382518707514,9904977.0,9752144.0,98.46,152833.0,1.54,ecoli_00018_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9904977.0,0.0,20-31,53.0,20.254176444900445,30.316159239945737,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,,9930142,1287480,9930142,307834402,5735833,300528274,2.373395550507704,0.0287,0.4623,0.509,,
ecoli_00019,7946523,6494111,985,95385,0,0,0,0,1704,0,0,0,0,1036333,199827,118178,81.72267292248445,7946523.0,7851138.0,98.8,95385.0,1.2,ecoli_00019_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7946523.0,0.0,20-76,52.0,20.079447739155086,75.21496005233988,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,,7953402,953760,7953402,601200943,737221,599286369,0.3184582496571367,0.0137,0.4781,0.5081,,
ecoli_00020,8027816,6474749,1107,107246,0,0,0,0,2512,0,0,0,0,1115570,201351,125281,80.65392878959857,8027816.0,7920570.0,98.66,107246.0,1.34,ecoli_00020_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8027816.0,0.0,20-76,52.0,21.28854220695088,75.29452394025971,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,,8039029,652122,8039029,607651741,284530,606532879,0.18412882322343246,0.0142,0.4796,0.5062,,
ecoli_00021,7809038,6392583,513,143712,0,0,0,0,2167,0,0,0,0,958219,236109,75735,81.86133810592291,7809038.0,7665326.0,98.16,143712.0,1.84,ecoli_00021_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7809038.0,0.0,20-76,52.0,21.524291245597833,74.4843518497413,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,,7815384,3903394,7815384,590916050,166757,585708213,0.8813158823491086,0.0144,0.48,0.5056,,
ecoli_00022,8790564,7140476,689,185595,0,0,0,0,2055,0,0,0,0,1154556,208835,98358,81.22887223163383,8790564.0,8604969.0,97.89,185595.0,2.11,ecoli_00022_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8790564.0,0.0,20-76,52.0,19.477970931293,75.21665117278026,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,,8797292,682029,8797292,665145182,134890,664146138,0.15019938910119024,0.0149,0.4807,0.5044,,
ecoli_00023,6250510,4824834,1142,97860,0,0,0,0,2093,0,0,0,0,1081994,150753,91834,77.19104521071081,6250510.0,6152650.0,98.43,97860.0,1.57,ecoli_00023_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6250510.0,0.0,20-76,52.0,20.404614949730405,75.19698904569387,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,,6256504,492170,6256504,473059028,92270,472356750,0.1484546237219259,0.0135,0.4858,0.5007,,
ecoli_00024,7164233,5536690,1554,106219,0,0,0,0,1536,0,0,0,0,1247706,173725,96803,77.28238319440476,7164233.0,7058014.0,98.52,106219.0,1.48,ecoli_00024_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7164233.0,0.0,20-76,52.0,19.402624414395817,75.30929465861874,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,,7170760,564440,7170760,542184927,122875,541362904,0.15161303073259355,0.0139,0.4797,0.5064,,
ecoli_00025,8115030,6078356,3272,206831,0,0,0,0,1625,0,0,0,0,1535097,198677,91172,74.9024464481339,8115030.0,7908199.0,97.45,206831.0,2.55,ecoli_00025_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8115030.0,0.0,20-76,52.0,17.847861439475622,75.30989164550223,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,,8126768,637284,8126768,614425064,154465,613415464,0.16431621350655054,0.015,0.4978,0.4871,,
ecoli_00026,5845829,4415189,1190,162207,0,0,0,0,1180,0,0,0,0,1042745,141842,81476,75.52716646347336,5845829.0,5683622.0,97.23,162207.0,2.77,ecoli_00026_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5845829.0,0.0,20-76,52.0,21.79799961981172,75.19031021947444,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,,5854610,457035,5854610,442624381,123334,441878887,0.1684258780132584,0.0152,0.4954,0.4894,,
ecoli_00027,8792332,5410228,352556,495093,0,0,0,0,191849,0,0,0,0,1746473,290419,305714,61.53348167471383,8792332.0,8297239.0,94.37,495093.0,5.63,ecoli_00027_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8792332.0,0.0,20-30,52.0,20.21758105648452,29.37034725258327,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,pass,8879503,2236696,8879503,275264593,10358213,261776711,4.899969826486183,0.0347,0.4839,0.4814,,
ecoli_00028,8452621,5156847,556086,228719,0,0,0,0,202170,0,0,0,0,1744897,268579,295323,61.00885157396741,8452621.0,8223902.0,97.29,228719.0,2.71,ecoli_00028_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8452621.0,0.0,20-30,52.0,18.583938897482426,29.40874410434349,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,pass,8527195,2158860,8527195,264343045,9905182,251083439,5.0160600972119385,0.0333,0.4712,0.4955,,
ecoli_00029,6901687,4975355,1374,399717,0,0,0,0,124957,0,0,0,0,882820,254584,262880,72.08896897236862,6901687.0,6501970.0,94.21,399717.0,5.79,ecoli_00029_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6901687.0,0.0,20-30,52.0,23.077553676168556,29.4267733381708,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,pass,6969271,2056552,6969271,216047401,7327178,205498350,4.882748392793672,0.0376,0.456,0.5064,,
ecoli_00030,9737032,6691168,309952,627670,0,0,0,0,180065,0,0,0,0,1208389,353285,366503,68.71876358216754,9737032.0,9109362.0,93.55,627670.0,6.45,ecoli_00030_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9737032.0,0.0,20-30,52.0,19.87506125078212,29.55195001926665,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,pass,9832264,2906329,9832264,304800184,10302185,289752752,4.936818542078045,0.0376,0.4393,0.5231,,
ecoli_00031,4907936,3501280,58343,151116,0,0,0,0,111836,0,0,0,0,719831,184945,180585,71.33915356679469,4907936.0,4756820.0,96.92,151116.0,3.08,ecoli_00031_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,4907936.0,0.0,20-30,52.0,25.560641772252414,29.565330721509,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,pass,4954483,1474713,4954483,153588973,5126513,146058839,4.90278296215966,0.0406,0.4631,0.4963,,
ecoli_00032,7570460,5336736,51847,352322,0,0,0,0,160530,0,0,0,0,1102021,283295,283709,70.49421039144252,7570460.0,7218138.0,95.35,352322.0,4.65,ecoli_00032_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7570460.0,0.0,20-30,51.0,19.83741825733793,29.485296666252776,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,pass,7648208,2282009,7648208,237094448,7900756,225554906,4.867065465826513,0.0402,0.4669,0.4929,,
ecoli_00033,10633453,6503206,13857,226542,0,0,0,0,14919,0,0,0,0,3293440,269860,311629,61.157988848965616,10633453.0,10406911.0,97.87,226542.0,2.13,ecoli_00033_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10633453.0,0.0,20-31,53.0,20.696469887748762,30.29932732104989,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,pass,10664383,745229,10664383,330595873,5014934,324590213,1.8166167488727245,0.0355,0.5458,0.4187,,
ecoli_00034,10665690,7116316,25547,160931,0,0,0,0,5616,0,0,0,0,2867963,214778,274539,66.72157169390822,10665690.0,10504759.0,98.49,160931.0,1.51,ecoli_00034_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10665690.0,0.0,20-31,53.0,17.934546801906798,30.45327559679683,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,pass,10681790,754742,10681790,331135490,4912516,325243135,1.7794392863175132,0.039,0.5052,0.4558,,
ecoli_00035,10525205,8182037,4684,170775,0,0,0,0,34042,0,0,0,0,1317247,385105,431315,77.73755475546557,10525205.0,10354430.0,98.38,170775.0,1.62,ecoli_00035_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10525205.0,0.0,20-31,52.0,19.82929822914711,30.44916198781877,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,pass,10547275,780096,10547275,326965525,4837970,321106056,1.7920754795172975,0.0339,0.4637,0.5024,,
ecoli_00036,10379093,8247551,4073,193339,0,0,0,0,27169,0,0,0,0,1140187,351618,415156,79.46311879082305,10379093.0,10185754.0,98.14,193339.0,1.86,ecoli_00036_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10379093.0,0.0,20-31,53.0,21.709679281622012,30.32530568904239,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,pass,10402789,774742,10402789,322486459,4757952,316720376,1.7880077873285216,0.0343,0.4557,0.51,,
ecoli_00037,4236426,3201416,1657,91387,0,0,0,0,16192,0,0,0,0,634989,137810,152975,75.5687931289252,4236426.0,4145039.0,97.84,91387.0,2.16,ecoli_00037_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,4236426.0,0.0,20-35,52.0,26.735712119809843,34.52912903470992,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,pass,4261898,1171467,4261898,149166430,194230,147347636,1.2193051747635175,0.0367,0.4712,0.4922,,
ecoli_00038,3954277,2966289,1707,90171,0,0,0,0,19430,0,0,0,0,600326,133138,143216,75.01469927372311,3954277.0,3864106.0,97.72,90171.0,2.28,ecoli_00038_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,3954277.0,0.0,20-35,52.0,27.392816659428053,34.52535039907422,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,pass,3977165,1095997,3977165,139200775,184586,137527447,1.2020967555676323,0.0412,0.4722,0.4866,,
ecoli_00039,4208756,3180664,1122,61006,0,0,0,0,11245,0,0,0,0,618296,150940,185483,75.57254447632506,4208756.0,4147750.0,98.55,61006.0,1.45,ecoli_00039_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,4208756.0,0.0,20-35,52.0,25.13904175055775,34.52277561350669,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,pass,4231556,1195999,4231556,148104460,193169,146294863,1.2218382890022352,0.0522,0.4401,0.5077,,
ecoli_00040,4630952,3520107,1598,71462,0,0,0,0,9440,0,0,0,0,666997,160036,201312,76.01259956915986,4630952.0,4559490.0,98.46,71462.0,1.54,ecoli_00040_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,4630952.0,0.0,20-35,52.0,25.85174546683051,34.587132408195984,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,pass,4656543,1450199,4656543,162979005,876737,160157409,1.7312634839070222,0.0514,0.4383,0.5103,,
ecoli_00041,8197795,6652548,969,127446,0,0,0,0,36749,0,0,0,0,970096,253329,156658,81.15045570180763,8197795.0,8070349.0,98.45,127446.0,1.55,ecoli_00041_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8197795.0,0.0,21-76,52.0,21.35112595754515,75.2180563188028,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,,8206775,993442,8206775,619722573,916758,617480524,0.3617826907847683,0.0168,0.4754,0.5078,,
ecoli_00042,5676095,4562570,67740,91732,0,0,0,0,40665,0,0,0,0,601815,180448,131125,80.3821993817933,5676095.0,5584363.0,98.38,91732.0,1.62,ecoli_00042_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5676095.0,0.0,20-76,52.0,23.82608107013469,75.14286001203294,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,,5682446,689149,5682446,429222030,670303,427643513,0.3677623443512441,0.0179,0.4566,0.5256,,
ecoli_00043,7641274,6428767,495,85798,0,0,0,0,9253,0,0,0,0,807219,191784,117958,84.13213555749995,7641274.0,7555476.0,98.88,85798.0,1.12,ecoli_00043_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7641274.0,0.0,20-76,52.0,22.32669610037468,75.14859747209692,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,,7653797,947209,7653797,578229681,800741,575841014,0.4131000324765411,0.0134,0.4531,0.5335,,
ecoli_00044,9464911,7913788,671,111203,0,0,0,0,16741,0,0,0,0,1016889,245356,160263,83.61185857954713,9464911.0,9353708.0,98.83,111203.0,1.17,ecoli_00044_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9464911.0,0.0,20-76,52.0,17.00728652905736,75.25013621364216,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,,9484300,1184398,9484300,716552285,981053,713319749,0.4511235352490712,0.0148,0.4581,0.5271,,
ecoli_00045,6654064,5595003,526,90454,0,0,0,0,8865,0,0,0,0,668654,172676,117886,84.08399738866353,6654064.0,6563610.0,98.64,90454.0,1.36,ecoli_00045_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6654064.0,0.0,20-76,52.0,21.96551177885656,75.24174669795781,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,,6661396,830257,6661396,503346296,628528,501438916,0.3789399097912504,0.0143,0.4466,0.539,,
ecoli_00046,6597143,5537000,687,95997,0,0,0,0,8508,0,0,0,0,667638,171905,115408,83.9302710279283,6597143.0,6501146.0,98.54,95997.0,1.46,ecoli_00046_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6597143.0,0.0,20-76,52.0,24.07156342261188,75.15664765793314,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,,6603058,819545,6603058,499002395,658827,497157624,0.3696918128018203,0.013999999999999999,0.4486,0.5374,,
ecoli_00047,5195242,4348999,180,76509,0,0,0,0,7935,0,0,0,0,534565,136764,90290,83.71119189442956,5195242.0,5118733.0,98.53,76509.0,1.47,ecoli_00047_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5195242.0,0.0,20-76,52.0,27.758254842834234,75.15725619711266,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,,5200630,641336,5200630,392982390,510337,391507295,0.3753590587099844,0.0149,0.4635,0.5216,,
ecoli_00048,6119800,5057220,215,93105,0,0,0,0,18728,0,0,0,0,661655,174513,114364,82.63701428151245,6119800.0,6026695.0,98.48,93105.0,1.52,ecoli_00048_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6119800.0,0.0,20-76,52.0,25.520996683876014,75.15387953854702,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,,6125210,754496,6125210,462867116,614365,461163443,0.3680695692368001,0.0155,0.4636,0.5209,,
ecoli_00049,7968852,6393013,8946,234682,0,0,0,0,18191,0,0,0,0,926455,231933,155632,80.22501860995787,7968852.0,7734170.0,97.06,234682.0,2.94,ecoli_00049_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7968852.0,0.0,20-76,52.0,25.719349203502183,75.13530531122927,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,pass,7981080,1032230,7981080,603297125,1641523,600360028,0.4868408746353631,0.0172,0.4492,0.5336,,
ecoli_00050,8038655,6285667,452,163808,0,0,0,0,38765,0,0,0,0,959901,334957,255105,78.19301860821243,8038655.0,7874847.0,97.96,163808.0,2.04,ecoli_00050_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8038655.0,0.0,20-31,51.0,14.8445560266784,30.449376294915012,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,,8100145,1077387,8100145,251104495,5735222,244054432,2.807621185753764,0.0411,0.4528,0.5061,,
ecoli_00051,9151866,7110322,2252,102408,0,0,0,0,41814,0,0,0,0,1227600,373942,293528,77.69259296410152,9151866.0,9049458.0,98.88,102408.0,1.12,ecoli_00051_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9151866.0,0.0,20-31,51.0,14.608278086600018,30.45083691129219,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,,9224375,1189905,9224375,285955625,5935754,278575897,2.5807248939411487,0.0401,0.4597,0.5002,,
ecoli_00052,9207222,6976136,928,560242,0,0,0,0,20612,0,0,0,0,1114845,308161,226298,75.76808726888522,9207222.0,8646980.0,93.92,560242.0,6.08,ecoli_00052_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9207222.0,0.0,20-31,53.0,37.01963766854681,30.02092824524053,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,,9351020,1363381,9351020,289881620,10089377,278082307,4.070390182033617,0.0338,0.4370000000000001,0.5292,,
ecoli_00053,10114106,7085412,916,1362757,0,0,0,0,16813,0,0,0,0,1105725,331047,211436,70.05475323276225,10114106.0,8751349.0,86.53,1362757.0,13.47,ecoli_00053_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10114106.0,0.0,20-31,53.0,54.181306841135566,29.682063644577195,pass,pass,pass,fail,pass,pass,warn,warn,pass,pass,,10429535,1741730,10429535,323315585,17503453,303602948,6.097026532141963,0.0335,0.4388,0.5277,,
ecoli_00054,9372620,7096003,3619,132013,0,0,0,0,52580,0,0,0,0,1474690,369053,244662,75.70991889140923,9372620.0,9240607.0,98.59,132013.0,1.41,ecoli_00054_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9372620.0,0.0,20-31,51.0,19.123365761307426,30.397319639545827,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,,9437466,1229923,9437466,292561446,6114984,284946444,2.6028726970401967,0.053,0.4575,0.4895,,
