Sample,Total,Assigned,Unassigned_rRNA,Unassigned_Unmapped,Unassigned_Read_Type,Unassigned_Singleton,Unassigned_MappingQuality,Unassigned_Chimera,Unassigned_FragmentLength,Unassigned_Duplicate,Unassigned_MultiMapping,Unassigned_Secondary,Unassigned_NonSplit,Unassigned_NoFeatures,Unassigned_Overlapping_Length,Unassigned_Ambiguity,percent_assigned,reads_processed,reads_aligned,reads_aligned_percentage,not_aligned,not_aligned_percentage,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content,per_tile_sequence_quality,r_processed,r_with_adapters,r_written,bp_processed,quality_trimmed,bp_written,percent_trimmed,pe_sense,pe_antisense,failed,se_sense,se_antisense
ecoli_00001,6372886,4580249,53735,229666,0,0,0,0,164385,0,0,0,0,828468,260077,256306,71.8708760834573,6372886.0,6143220.0,96.4,229666.0,3.6,ecoli_00001_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6372886.0,0.0,20-30,52.0,24.41006528369112,29.526617454007486,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,,6496162,2056266,6496162,201381022,10060007,188572802,6.360192173421386,0.0399,0.4468,0.5133,,
ecoli_00002,4346353,3183361,26600,199565,0,0,0,0,85094,0,0,0,0,457175,181790,212768,73.24211816205448,4346353.0,4146788.0,95.41,199565.0,4.59,ecoli_00002_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,4346353.0,0.0,20-30,51.0,27.76035028870588,29.421424812940874,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,,4394188,1383413,4394188,136219828,6035575,128348546,5.778367302005402,0.0409,0.4453,0.5138,,
ecoli_00003,11421794,8766514,5167,179345,0,0,0,0,12511,0,0,0,0,1825156,323853,309248,76.75251365941287,11421794.0,11242449.0,98.43,179345.0,1.57,ecoli_00003_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,11421794.0,0.0,20-31,52.0,19.003328362239486,30.32662846134329,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,,11445313,1513488,11445313,354804703,6338224,346636233,2.3022440037949554,0.0261,0.5113,0.4626,,
ecoli_00004,10539531,7948124,2907,131778,0,0,0,0,4468,0,0,0,0,1984512,249921,217821,75.4125017517383,10539531.0,10407753.0,98.75,131778.0,1.25,ecoli_00004_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10539531.0,0.0,20-31,52.0,14.343977263901165,30.46030852796012,pass,pass,pass,fail,fail,pass,warn,fail,fail,pass,,10563549,1411164,10563549,327470019,6001546,319757327,2.355236068191024,0.0234,0.5314,0.4452,,
ecoli_00005,10713890,8153912,1176,562512,0,0,0,0,41191,0,0,0,0,1333514,355951,265634,76.10598951454607,10713890.0,10151378.0,94.75,562512.0,5.25,ecoli_00005_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10713890.0,0.0,20-31,51.0,15.876551529280851,30.45475070212593,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,,10848313,1439302,10848313,336297703,8690930,325858317,3.1042097245606226,0.0314,0.455,0.5135,,
ecoli_00006,8880301,6723940,1569,510706,0,0,0,0,35380,0,0,0,0,1133252,289580,185874,75.71747849537985,8880301.0,8369595.0,94.25,510706.0,5.75,ecoli_00006_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8880301.0,0.0,20-31,52.0,21.067760455116385,30.29758844886001,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,,9037985,1199445,9037985,280177535,8349883,270366795,3.501615502470603,0.0325,0.455,0.5124,,
ecoli_00007,11279512,8603823,3708,170293,0,0,0,0,8032,0,0,0,0,1876786,330379,286491,76.2783265800861,11279512.0,11109219.0,98.49,170293.0,1.51,ecoli_00007_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,11279512.0,0.0,20-31,53.0,20.803979509982046,30.30930309750989,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,,11303219,1506428,11303219,350399789,6423699,342148845,2.3547228791282184,0.0282,0.5077,0.4641,,
ecoli_00008,11767212,8957312,2215,150293,0,0,0,0,4606,0,0,0,0,2136007,284709,232070,76.12093671806029,11767212.0,11616919.0,98.72,150293.0,1.28,ecoli_00008_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,11767212.0,0.0,20-31,52.0,17.679463559539386,30.339140486293612,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,,11791043,1540767,11791043,365522333,6390710,357267590,2.258341626419856,0.0243,0.5273,0.4484,,
ecoli_00009,10556680,7850236,1762,595176,0,0,0,0,26281,0,0,0,0,1583572,308114,191539,74.36273525388664,10556680.0,9961504.0,94.36,595176.0,5.64,ecoli_00009_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10556680.0,0.0,20-31,52.0,20.33267556547034,30.310887892784475,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,,10702587,1409451,10702587,331780197,8836260,321222269,3.1822055974003773,0.0304,0.4796,0.49,,
ecoli_00010,10032103,7399070,1979,504705,0,0,0,0,56703,0,0,0,0,1593989,298323,177334,73.7539277656938,10032103.0,9527398.0,94.97,504705.0,5.03,ecoli_00010_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10032103.0,0.0,20-31,52.0,16.695532827791375,30.45813006505217,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,,10191100,1338900,10191100,315924100,8602587,305687623,3.2401697116490955,0.0304,0.4813,0.4883,,
