Geneid,DDB-I-SF-S1-001-A8-RNAseq_S22,DDB-PD-019-1L-R28--S05-RNAseq_S1,DDB-PD-019-1L-R28--S06-RNAseq_S2,DDB-PD-019-1L-R28--S07-RNAseq_S3,DDB-PD-019-1L-R28--S08-RNAseq_S4,DDB-PD-019-1L-R28--S09-RNAseq_S5,DDB-PD-019-1L-R28--S10-RNAseq_S6,DDB-PD-022-30L-R40--S03-RNAseq_S7,DDB-PD-022-30L-R40--S06-RNAseq_S8,DDB-PD-022-30L-R40--S11-RNAseq_S9,DDB-PD-023-AMBR-R1--S02-RNAseq_S10,DDB-PD-023-AMBR-R1--S07-RNAseq_S14,DDB-PD-023-AMBR-R1--S10-RNAseq_S18,DDB-PD-023-AMBR-R2--S02-RNAseq_S11,DDB-PD-023-AMBR-R2--S07-RNAseq_S15,DDB-PD-023-AMBR-R2--S10-RNAseq_S19,DDB-PD-023-AMBR-R3--S02-RNAseq_S12,DDB-PD-023-AMBR-R3--S07-RNAseq_S16,DDB-PD-023-AMBR-R3--S10-RNAseq_S21,DDB-PD-023-AMBR-R4--S02-RNAseq_S13,DDB-PD-023-AMBR-R4--S07-RNAseq_S17,DDB-PD-023-AMBR-R4--S10-RNAseq_S20
b0001,10.562072276359595,10.998152136167626,10.167592009057444,9.831156687786148,10.207368148589017,9.99191683923333,9.723626222894357,10.594870075709874,10.149271331940087,8.594847960907355,9.856159474222373,9.281685454783762,9.592879200525665,10.169261236518167,9.393589626368495,9.661225105319657,9.90431218598706,9.304688278438963,10.129439039593164,9.938030817128265,9.592463742907269,9.785216214416707
b0002,10.963315269415865,10.764548089568827,7.579882095548935,9.069883864769478,9.119387188054825,8.464796245435892,6.550551616229414,9.074666850337413,7.65054871203448,8.917138586343635,9.73393504879196,8.0007384034263,8.834443819952845,9.678325541913752,7.976014563611081,8.659162684140782,9.674147615937573,7.663856067573394,8.707273651022122,9.681725133133973,9.261852190729048,8.643518070992801
b0003,9.774585283477181,8.029635908990896,7.532663362768619,8.919058870968968,7.735547840045991,7.973207102482633,5.495238098506339,8.516526502136688,7.16448406743928,7.940666238926616,8.801300167099196,7.285102877637535,8.036025969910995,8.856090878616266,7.4982285367602355,7.954223193881728,8.909067435582912,7.131264551793916,8.050191533024726,8.771923740843109,8.808600443531908,7.912841786140752
b0004,10.33220421744556,8.088448715953076,8.373336408433978,9.417500128745079,8.7378110002324,8.766158194598784,5.918769046795807,9.172400307673945,7.726759696921664,8.674674115695245,9.465167701590424,8.037175847523278,8.705539720688702,9.517555627238648,7.965350036389263,8.643400689164322,9.47814761344646,7.811118548434155,8.777931798726756,9.467007067090803,8.260948434960195,8.508308245394414
b0005,5.295508126845995,5.10080100059624,4.40587619070552,5.210850115732828,5.505401221113066,4.440609392846536,4.142543510920685,4.607453423594164,4.1187468604247535,4.720254484322718,4.72156300877355,2.506129082251556,3.0671664874993017,4.702892827370835,2.391423473314985,3.308426401258227,4.954843578492096,2.8171874272204223,4.13582806660545,4.897608246926907,1.7819555589976082,2.8148952082360044
b0006,6.592146998154974,5.962495039899468,5.708372947059662,5.429220603665715,5.564114014593266,5.426263814230813,5.46728713560526,5.8070601145948,5.709231689260698,5.638113589883974,6.088880650515886,5.583985850601443,5.434058808253033,6.108680419447167,5.573227932364808,5.580827262401232,5.939733719565966,5.50415314583201,5.613317475441163,6.138073151742963,5.854677123749823,5.790601095864408
b0007,3.9007509719578337,3.2928405570144217,2.865552220570058,3.342151734683787,3.0948772579581676,3.317950212889458,3.2283816725870835,2.502136392038473,3.2979336590179633,2.560792886255201,3.42017342468574,3.229483344234044,3.122286376383405,3.2397839826451906,3.349329628990893,3.228515821231636,3.166374564193325,3.3804715420983955,3.544390702707438,3.367802405857317,3.911384675882934,3.3683654857880403
b0008,10.668879157341854,10.693303474620917,10.223155751729953,10.319039001356328,10.589830655962183,10.540969262746273,10.097344785563468,10.076534347424987,10.051952329539496,10.370187796358438,10.110708997661845,9.718037690389767,9.930908395424145,10.090908924045031,9.625211193412657,9.861717460815262,10.076789867480388,9.734455270378842,9.916967418748648,10.084033388647068,9.682290258280238,9.787697167764804
b0009,5.882570986171118,6.275944804152003,6.316556296301152,6.282661129835074,6.217939247954698,6.349089898970079,6.463664993198957,5.658267940954622,5.723134882536578,5.911384385934171,5.899847980578556,5.384915231976421,5.655346391176962,5.63676450983772,5.581485877657306,5.611754097614027,5.731439192650845,5.577075707590762,5.6314355079304494,5.775152952753275,5.762344171698296,5.587733279978993
b0010,4.131845205692626,4.764298296625504,4.697034755056039,4.650720082337188,4.601103230983274,5.108333084634486,5.070959946176666,4.561106575697471,4.800742295056331,4.92198308980349,5.011563594188042,4.821588142143217,4.720993508602764,4.738239815458925,5.116243674148389,4.588146343303897,4.850875584850741,4.973250743936262,5.14765946896464,5.00909716739249,5.621370288362995,4.773500246194015
