Geneid,DDB-PD-036-AMBR-R13-S02,DDB-PD-036-AMBR-R13-S10,DDB-PD-036-AMBR-R14-S02,DDB-PD-036-AMBR-R14-S10,DDB-PD-036-AMBR-R15-S02,DDB-PD-036-AMBR-R15-S10,DDB-PD-036-AMBR-R16-S10,DDB-PD-036-AMBR-R17-S02,DDB-PD-036-AMBR-R17-S10,DDB-PD-036-AMBR-R18-S02,DDB-PD-036-AMBR-R18-S10,DDB-PD-036-AMBR-R19-S02,DDB-PD-036-AMBR-R19-S10,DDB-PD-036-AMBR-R20-S02,DDB-PD-036-AMBR-R20-S10,DDB-PD-036-AMBR-R21-S02,DDB-PD-036-AMBR-R21-S07,DDB-PD-036-AMBR-R22-S02,DDB-PD-036-AMBR-R22-S07,DDB-PD-036-AMBR-R23-S02,DDB-PD-036-AMBR-R23-S07,DDB-PD-036-AMBR-R24-S02,NGSDNA22-1_S73,NGSDNA22-2_S74,NGSDNA22-3_S75,NGSDNA22-4_S76,NGSDNA22-5_S77,NGSDNA22-6_S78,NGSDNA22-7_S79,NGSDNA22-8_S80
b0001,9.055646401307449,9.334314601779814,8.813835883049874,9.297061845231276,8.922015110760164,9.737959248579637,9.870429915412341,8.274549374733915,9.746638742707791,9.10228222190293,9.626270451318996,8.654554554413142,9.304717390965713,8.833188075052663,9.45208776888856,10.197039929548575,8.644837325563701,10.425588244668209,9.011684592666004,9.757755830901925,8.398540873964457,9.693262933028738,6.947085763388471,6.267351865749214,6.627164666943415,5.385135985374453,6.801420521947984,6.590408014225576,3.6115012847944157,6.189653446267468
b0002,9.449110695625324,8.821769221543896,9.509177338559667,8.856294873851162,9.299172422429004,8.76241037406543,8.921790163355407,9.468874264580467,8.794257386785413,9.397403829397948,8.908811925432829,9.651663242276735,9.432876836116542,9.403745422669823,8.85120774715587,9.04511991840287,7.894883415387074,9.388729431588182,7.945525759005755,9.432336050034218,7.989802545057221,9.530738222296142,7.728785003785882,7.698989171209635,7.712281030928692,7.551138533870119,7.659116060891547,7.737846347489325,7.8044019313407995,7.680967001800871
b0003,8.715860472524406,8.209517653181324,8.740628580833631,8.394336687154803,8.639792310893016,8.27051633659735,8.500378261953013,8.502960708622847,8.283803905821468,8.513573259859198,8.424805368760863,8.843186640511446,8.984020737103933,8.69237791624203,8.4145517902332,8.501240249880409,7.476371238926085,8.952999282022919,7.5010364221002686,8.876421739183233,7.565375345110337,8.992992946867759,7.698398311223878,7.802870098567371,7.37277696371252,7.551516989274344,7.48612007107489,7.4547574075296374,7.587429936105235,7.609161409203715
b0004,9.813927521590736,8.676987552584029,9.787768847761665,8.714047628498514,9.633855823488815,8.57854173652476,8.740109768539831,9.681119328823858,8.650563096755828,9.639098827857882,8.713674037226927,10.04565823491445,9.29377174247682,9.512996777982362,8.633092591037407,9.05013637789753,8.02182956541437,9.255485899895001,7.982561394291677,9.287542815689049,8.040067517665328,9.388125594905071,7.433103190042603,7.403490330217962,7.520836856562503,7.377277157858297,7.389400537617523,7.427643313873405,7.5593538741085835,7.481693430801215
b0005,3.9081090402137617,3.9767198606746486,4.194484845707194,3.1844382313909767,3.689207215568756,4.009714983700044,3.69396546979442,3.7722072565465896,3.8255098284951656,4.100368376984243,4.138896516591943,3.995660271457385,5.076379558417655,3.457902928544683,3.788559881846933,4.185806648927604,2.9876496934941867,5.163727663551685,2.8172225730498166,4.8418398076355285,3.499874204255528,5.147834851667051,8.196611705823099,8.03827004963668,7.619848731154633,7.668505412310958,7.794938833097056,7.907878812777881,7.8006525634129895,7.691321634475896
b0006,6.662855860016544,5.714969357572852,6.5746053003948814,5.784561496305995,6.6975564091524955,5.7555339740626525,5.515173328347866,6.84738012626207,5.632008387826556,6.699102512445114,5.832606942594803,6.623492306681904,5.785134981588205,6.5334166750753475,5.931284513206173,6.23533175166646,5.799979489461211,6.281371653064765,5.768228150801039,6.2812535479622404,5.8861463854788845,6.290199558362304,7.835510441603333,7.735000717894641,7.858362119763571,7.761414615758145,7.716896740071542,7.566983293735697,7.751474056213375,7.657672445812551
b0007,3.453557490151507,3.1005188105725883,3.3444322435761027,2.8673502721238915,3.580773171481825,3.072367176491453,3.274216601879693,3.3708112277649445,2.985083472498482,3.7497475706304257,2.981418577448224,3.3770224602801386,3.1768212458788576,3.1473603152191543,3.4563977355211417,3.9334421475355708,3.459274956422609,3.642275787344237,3.1952139286503187,3.325795762749726,2.9355455241026487,3.1482312165379787,7.937457638398739,8.063417227016009,7.858383784957973,7.9064912709236905,7.802746007705899,7.913016612786946,7.91082089731036,7.99305171129784
b0008,10.290226538654665,10.276752117900884,10.345217510723634,10.277201285921556,10.298442186760134,10.143529707606847,10.269325717954032,10.333903930666485,10.217576653271745,10.31227267835862,10.28975269173955,10.527584622221477,10.370411929617642,10.323908859735537,10.17346174233281,10.011148517776519,10.003654107874961,9.961621455900511,9.987740001978493,9.999173093257566,10.058598896492514,10.054230226272743,7.7888728237140805,7.934935095308827,7.9742460055592055,7.848790330728368,7.838533694625014,7.747828130138588,7.917013635404922,8.01040618228464
b0009,5.834867744189779,5.833676167219508,5.978584348805652,5.315580454178589,5.764777542461175,5.855158632118902,5.657095519896299,5.858780798560792,5.881304187840872,5.903516451241334,5.583164150893323,5.836878699968413,6.047348517070704,5.3330665832765165,5.558663937223052,5.53734719234588,5.659438630084465,5.2967234943811246,5.59546238022931,5.880603994846258,5.720215516262177,5.931631701510471,7.7640001057440635,7.8631971175834,7.535404281271594,8.058320167511141,7.777244661406988,7.976018587930259,7.799004954248772,7.899672954718275
b0010,4.691700649989024,4.721128360085612,4.537430680197891,4.634566513162365,4.751082068447985,5.060674892179602,4.984160897946896,4.839838718584272,4.898577333510924,4.868055662862547,4.7084799628873055,4.222815221878816,4.18185150468777,4.60442538754067,4.614776007535902,5.689011680337164,4.577426729564576,4.957122765587115,4.616703430369651,4.7599966517392485,4.60549040717783,4.423109982585239,8.123121256114656,7.796051569500135,8.038743315715418,7.906850351879246,7.779660345925214,7.909609766637814,7.945999391734255,7.930846088107532
