Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
DDB-I-SF-S1-001-A8-RNAseq_S22	5858049	1215960	811155754	7223025	776122202	4.318967328683955
DDB-PD-019-1L-R28--S05-RNAseq_S1	5018420	1022952	716874718	8784279	688215293	3.997828948404901
DDB-PD-019-1L-R28--S06-RNAseq_S2	4737096	774426	646886246	5173099	629363606	2.708766820805153
DDB-PD-019-1L-R28--S07-RNAseq_S3	5009486	623018	706522769	13641673	687931327	2.6314002627705833
DDB-PD-019-1L-R28--S08-RNAseq_S4	2763398	263249	400030493	13003718	385499048	3.6325843290151387
DDB-PD-019-1L-R28--S09-RNAseq_S5	6025999	1313738	805378834	6406476	766482256	4.829600227611643
DDB-PD-019-1L-R28--S10-RNAseq_S6	6692151	1407212	902614513	7679971	878031197	2.7235675524751946
DDB-PD-022-30L-R40--S03-RNAseq_S7	5900515	1348635	789017260	6439789	739951898	6.218541024058206
DDB-PD-022-30L-R40--S06-RNAseq_S8	5710122	1403224	767782516	5857021	712052741	7.258536608822699
DDB-PD-022-30L-R40--S11-RNAseq_S9	7191522	1613876	1004142481	7460514	946678533	5.7226886709118325
DDB-PD-023-AMBR-R1--S02-RNAseq_S10	8263313	1612627	1156921261	10197992	1138841277	1.5627670274096555
DDB-PD-023-AMBR-R1--S07-RNAseq_S14	6700688	1190745	945969950	9523028	928654944	1.8303970437961588
DDB-PD-023-AMBR-R1--S10-RNAseq_S18	16056314	3494574	2228648319	19243738	2121763707	4.795938914577577
DDB-PD-023-AMBR-R2--S02-RNAseq_S11	8113019	1874674	1140067142	10385417	1039732334	8.80078061227029
DDB-PD-023-AMBR-R2--S07-RNAseq_S15	6036513	1421015	842701141	6877443	774979337	8.036277715209597
DDB-PD-023-AMBR-R2--S10-RNAseq_S19	7173091	1389038	998814448	9237452	982125987	1.670826952234876
DDB-PD-023-AMBR-R3--S02-RNAseq_S12	6831884	1372220	957169232	9015607	941277298	1.6603055623501277
DDB-PD-023-AMBR-R3--S07-RNAseq_S16	6121808	1210139	850122243	6740755	836613094	1.5890831126036071
DDB-PD-023-AMBR-R3--S10-RNAseq_S21	7071970	1606688	978424911	8484189	917433241	6.23365874215768
DDB-PD-023-AMBR-R4--S02-RNAseq_S13	7952909	1648414	1110110429	10034153	1057177488	4.768259050379572
DDB-PD-023-AMBR-R4--S07-RNAseq_S17	6369279	1261831	892119725	7482422	878187633	1.5616841114010789
DDB-PD-023-AMBR-R4--S10-RNAseq_S20	6201668	1220748	858890132	7541809	844603333	1.6634023919604188
