,TF,ev_level,gene_id
0,FMN,Strong,b3041
1,Sigma19,Strong,b4287
2,Sigma19,Strong,b4288
3,Sigma19,Strong,b4289
4,Sigma19,Strong,b4290
5,Sigma19,Strong,b4291
6,Sigma24,Weak,b0049
7,Sigma24,Weak,b0050
8,Sigma24,Weak,b0051
9,Sigma24,Weak,b0052
10,Sigma24,Weak,b0053
11,Sigma24,Weak,b0054
12,Sigma24,Weak,b0161
13,Sigma24,Weak,b0176
14,Sigma24,Weak,b0177
15,Sigma24,Weak,b0178
16,Sigma24,Weak,b0179
17,Sigma24,Weak,b0180
18,Sigma24,Weak,b0181
19,Sigma24,Weak,b0182
20,Sigma24,Weak,b0183
21,Sigma24,Weak,b0184
22,Sigma24,Weak,b0294
23,Sigma24,Weak,b0301
24,Sigma24,Weak,b0303
25,Sigma24,Weak,b0304
26,Sigma24,Weak,b0377
27,Sigma24,Weak,b0378
28,Sigma24,Weak,b0438
29,Sigma24,Weak,b0439
30,Sigma24,Weak,b0443
31,Sigma24,Weak,b0471
32,Sigma24,Weak,b0472
33,Sigma24,Weak,b0554
34,Sigma24,Weak,b0555
35,Sigma24,Weak,b0556
36,Sigma24,Weak,b0606
37,Sigma24,Weak,b0691
38,Sigma24,Weak,b0872
39,Sigma24,Weak,b0873
40,Sigma24,Weak,b1013
41,Sigma24,Strong,b1112
42,Sigma24,Weak,b1129
43,Sigma24,Weak,b1465
44,Sigma24,Weak,b1466
45,Sigma24,Weak,b1643
46,Sigma24,Weak,b1644
47,Sigma24,Weak,b1645
48,Sigma24,Weak,b1653
49,Sigma24,Weak,b1707
50,Sigma24,Weak,b1806
51,Sigma24,Weak,b1810
52,Sigma24,Weak,b1902
53,Sigma24,Weak,b2060
54,Sigma24,Weak,b2061
55,Sigma24,Weak,b2062
56,Sigma24,Weak,b2378
57,Sigma24,Weak,b2419
58,Sigma24,Weak,b2420
59,Sigma24,Weak,b2431
60,Sigma24,Weak,b2432
61,Sigma24,Weak,b2477
62,Sigma24,Weak,b2494
63,Sigma24,Weak,b2495
64,Sigma24,Weak,b2511
65,Sigma24,Weak,b2512
66,Sigma24,Weak,b2570
67,Sigma24,Weak,b2571
68,Sigma24,Weak,b2572
69,Sigma24,Weak,b2595
70,Sigma24,Weak,b2617
71,Sigma24,Weak,b2631
72,Sigma24,Weak,b2891_1
73,Sigma24,Weak,b2891_2
74,Sigma24,Weak,b2892
75,Sigma24,Weak,b2893
76,Sigma24,Weak,b2958
77,Sigma24,Weak,b2970
78,Sigma24,Weak,b3055
79,Sigma24,Weak,b3056
80,Sigma24,Weak,b3057
81,Sigma24,Weak,b3067
82,Sigma24,Weak,b3095
83,Sigma24,Weak,b3096
84,Sigma24,Weak,b3150
85,Sigma24,Weak,b3181
86,Sigma24,Weak,b3190
87,Sigma24,Weak,b3200
88,Sigma24,Weak,b3201
89,Sigma24,Weak,b3202
90,Sigma24,Weak,b3203
91,Sigma24,Weak,b3204
92,Sigma24,Weak,b3205
93,Sigma24,Weak,b3322
94,Sigma24,Weak,b3323
95,Sigma24,Weak,b3339
96,Sigma24,Weak,b3340
97,Sigma24,Weak,b3347
98,Sigma24,Weak,b3416
99,Sigma24,Weak,b3461
100,Sigma24,Weak,b3527
101,Sigma24,Strong,b3546
102,Sigma24,Weak,b3558
103,Sigma24,Weak,b3575
104,Sigma24,Weak,b3576
105,Sigma24,Weak,b3577
106,Sigma24,Weak,b3578
107,Sigma24,Weak,b3579
108,Sigma24,Weak,b3580
109,Sigma24,Weak,b3581
110,Sigma24,Weak,b3582
111,Sigma24,Weak,b3583
112,Sigma24,Weak,b3619
113,Sigma24,Weak,b3620
114,Sigma24,Weak,b3621
115,Sigma24,Weak,b3622
116,Sigma24,Weak,b3656
117,Sigma24,Weak,b3657
118,Sigma24,Weak,b3688
119,Sigma24,Weak,b3712
120,Sigma24,Weak,b3713
121,Sigma24,Weak,b3922
122,Sigma24,Weak,b3923
123,Sigma24,Weak,b4041
124,Sigma24,Weak,b4159
125,Sigma24,Weak,b4160
126,Sigma24,Weak,b4216
127,Sigma24,Weak,b4357
128,Sigma24,Weak,b4415
129,Sigma28,Weak,b0154
130,Sigma28,Weak,b0245
131,Sigma28,Weak,b0246
132,Sigma28,Weak,b0247
133,Sigma28,Weak,b0248
134,Sigma28,Weak,b0249
135,Sigma28,Weak,b0250
136,Sigma28,Weak,b0763
137,Sigma28,Weak,b0764
138,Sigma28,Weak,b0765
139,Sigma28,Weak,b1070
140,Sigma28,Weak,b1071
141,Sigma28,Weak,b1082
142,Sigma28,Weak,b1083
143,Sigma28,Weak,b1194
144,Sigma28,Weak,b1207
145,Sigma28,Weak,b1208
146,Sigma28,Weak,b1209
147,Sigma28,Weak,b1243
148,Sigma28,Weak,b1244
149,Sigma28,Weak,b1245
150,Sigma28,Weak,b1246
151,Sigma28,Weak,b1247
152,Sigma28,Weak,b1421
153,Sigma28,Weak,b1566
154,Sigma28,Strong,b1742
155,Sigma28,Weak,b1760
156,Sigma28,Weak,b1881
157,Sigma28,Weak,b1882
158,Sigma28,Weak,b1883
159,Sigma28,Weak,b1884
160,Sigma28,Weak,b1885
