,TF,ev_level,gene_id
161,Sigma28,Weak,b1886
162,Sigma28,Weak,b1887
163,Sigma28,Weak,b1888
164,Sigma28,Weak,b1889
165,Sigma28,Weak,b1890
166,Sigma28,Weak,b1915
167,Sigma28,Weak,b1920
168,Sigma28,Weak,b1921
169,Sigma28,Weak,b1922
170,Sigma28,Strong,b1923
171,Sigma28,Strong,b1924
172,Sigma28,Strong,b1925
173,Sigma28,Strong,b1926
174,Sigma28,Weak,b1937
175,Sigma28,Weak,b1938
176,Sigma28,Weak,b1939
177,Sigma28,Weak,b1940
178,Sigma28,Weak,b1941
179,Sigma28,Weak,b1942
180,Sigma28,Weak,b1943
181,Sigma28,Weak,b1944
182,Sigma28,Weak,b1945
183,Sigma28,Weak,b1946
184,Sigma28,Weak,b1947
185,Sigma28,Weak,b1948
186,Sigma28,Weak,b1949
187,Sigma28,Weak,b1950
188,Sigma28,Weak,b2737
189,Sigma28,Weak,b2822
190,Sigma28,Weak,b2823
191,Sigma28,Weak,b2824
192,Sigma28,Weak,b2825
193,Sigma28,Weak,b2826
194,Sigma28,Weak,b3072
195,Sigma28,Weak,b3525
196,Sigma28,Weak,b4083
197,Sigma28,Weak,b4109
198,Sigma28,Weak,b4110
199,Sigma28,Weak,b4355
200,Sigma28,Weak,b4504
201,Sigma32,Weak,b0014
202,Sigma32,Weak,b0015
203,Sigma32,Weak,b0026
204,Sigma32,Weak,b0027
205,Sigma32,Weak,b0028
206,Sigma32,Weak,b0029
207,Sigma32,Weak,b0059
208,Sigma32,Weak,b0080
209,Sigma32,Weak,b0126
210,Sigma32,Weak,b0209
211,Sigma32,Weak,b0210
212,Sigma32,Strong,b0218
213,Sigma32,Weak,b0353
214,Sigma32,Weak,b0415
215,Sigma32,Weak,b0416
216,Sigma32,Weak,b0417
217,Sigma32,Weak,b0418
218,Sigma32,Strong,b0437
219,Sigma32,Strong,b0438
220,Sigma32,Weak,b0439
221,Sigma32,Weak,b0441
222,Sigma32,Weak,b0473
223,Sigma32,Weak,b0492
224,Sigma32,Weak,b0630
225,Sigma32,Weak,b0631
226,Sigma32,Weak,b0657
227,Sigma32,Weak,b0658
228,Sigma32,Weak,b0659
229,Sigma32,Weak,b0660
230,Sigma32,Strong,b0680
231,Sigma32,Weak,b0685
232,Sigma32,Weak,b0731
233,Sigma32,Weak,b0732
234,Sigma32,Strong,b0966
235,Sigma32,Strong,b1001
236,Sigma32,Weak,b1056
237,Sigma32,Weak,b1057
238,Sigma32,Weak,b1060
239,Sigma32,Weak,b1129
240,Sigma32,Weak,b1130
241,Sigma32,Weak,b1274
242,Sigma32,Weak,b1279
243,Sigma32,Weak,b1280
244,Sigma32,Weak,b1281
245,Sigma32,Weak,b1282
246,Sigma32,Weak,b1321
247,Sigma32,Weak,b1322
248,Sigma32,Weak,b1323
249,Sigma32,Weak,b1326
250,Sigma32,Weak,b1327
251,Sigma32,Weak,b1380
252,Sigma32,Strong,b1499
253,Sigma32,Weak,b1664
254,Sigma32,Weak,b1779
255,Sigma32,Weak,b1780
256,Sigma32,Weak,b1814
257,Sigma32,Weak,b1829
258,Sigma32,Weak,b1838
259,Sigma32,Strong,b2123
260,Sigma32,Strong,b2128
261,Sigma32,Strong,b2129
262,Sigma32,Strong,b2130
263,Sigma32,Strong,b2131
264,Sigma32,Weak,b2193
265,Sigma32,Weak,b2290
266,Sigma32,Weak,b2291
267,Sigma32,Weak,b2296
268,Sigma32,Weak,b2559
269,Sigma32,Weak,b2560
270,Sigma32,Weak,b2592
271,Sigma32,Strong,b2597
272,Sigma32,Weak,b2614
273,Sigma32,Weak,b2630
274,Sigma32,Strong,b2641_1
275,Sigma32,Strong,b2641_2
276,Sigma32,Weak,b2700
277,Sigma32,Weak,b2754
278,Sigma32,Strong,b2755
279,Sigma32,Strong,b2756
280,Sigma32,Strong,b2757
281,Sigma32,Weak,b2892
282,Sigma32,Weak,b2893
283,Sigma32,Weak,b2894
284,Sigma32,Weak,b2954
285,Sigma32,Weak,b2955
286,Sigma32,Weak,b3067
287,Sigma32,Weak,b3178
288,Sigma32,Weak,b3179
289,Sigma32,Strong,b3279
290,Sigma32,Weak,b3292
291,Sigma32,Weak,b3293
292,Sigma32,Strong,b3399
293,Sigma32,Weak,b3400
294,Sigma32,Weak,b3401
295,Sigma32,Weak,b3414
296,Sigma32,Weak,b3497
297,Sigma32,Weak,b3498
298,Sigma32,Strong,b3562
299,Sigma32,Strong,b3594
300,Sigma32,Strong,b3619
301,Sigma32,Strong,b3620
302,Sigma32,Strong,b3621
303,Sigma32,Strong,b3622
304,Sigma32,Weak,b3635
305,Sigma32,Weak,b3686
306,Sigma32,Weak,b3687
307,Sigma32,Weak,b3931
308,Sigma32,Weak,b3932
309,Sigma32,Strong,b3936
310,Sigma32,Weak,b3965
311,Sigma32,Weak,b3989
312,Sigma32,Strong,b4013
313,Sigma32,Weak,b4115
314,Sigma32,Weak,b4140
315,Sigma32,Weak,b4142
316,Sigma32,Weak,b4143
317,Sigma32,Weak,b4170
318,Sigma32,Weak,b4171
319,Sigma32,Weak,b4172
320,Sigma32,Weak,b4173
321,Sigma32,Weak,b4174
322,Sigma32,Weak,b4175
323,Sigma32,Weak,b4258
324,Sigma32,Weak,b4259
325,Sigma32,Weak,b4279
326,Sigma32,Weak,b4280
327,Sigma32,Strong,b4297
328,Sigma32,Strong,b4298
329,Sigma32,Strong,b4299
330,Sigma32,Strong,b4342
331,Sigma32,Weak,b4392
332,Sigma32,Weak,b4397
333,Sigma32,Weak,b4398
334,Sigma32,Weak,b4399
335,Sigma32,Weak,b4525
336,Sigma32,Weak,b4673
337,Sigma38,Strong,b0019
338,Sigma38,Strong,b0020
339,Sigma38,Strong,b0065
340,Sigma38,Weak,b0093
341,Sigma38,Weak,b0094
342,Sigma38,Weak,b0095
343,Sigma38,Weak,b0139
344,Sigma38,Weak,b0140
345,Sigma38,Strong,b0142
346,Sigma38,Strong,b0143
347,Sigma38,Weak,b0186
348,Sigma38,Weak,b0207
349,Sigma38,Strong,b0240_1
350,Sigma38,Strong,b0240_2
351,Sigma38,Strong,b0256
352,Sigma38,Weak,b0385
353,Sigma38,Weak,b0435
354,Sigma38,Strong,b0564
355,Sigma38,Strong,b0707
356,Sigma38,Strong,b0708
357,Sigma38,Strong,b0726
358,Sigma38,Strong,b0727
359,Sigma38,Strong,b0728
360,Sigma38,Strong,b0729
361,Sigma38,Weak,b0803
362,Sigma38,Strong,b0861
363,Sigma38,Strong,b0862
364,Sigma38,Strong,b0863
365,Sigma38,Strong,b0864
366,Sigma38,Strong,b0865
367,Sigma38,Strong,b0871
368,Sigma38,Weak,b0912
369,Sigma38,Strong,b0929
370,Sigma38,Strong,b0999
371,Sigma38,Strong,b1000
372,Sigma38,Strong,b1003
373,Sigma38,Strong,b1004
374,Sigma38,Strong,b1037
375,Sigma38,Strong,b1038
376,Sigma38,Strong,b1039
377,Sigma38,Strong,b1040
378,Sigma38,Strong,b1041
379,Sigma38,Strong,b1042
380,Sigma38,Strong,b1043
381,Sigma38,Strong,b1051
382,Sigma38,Weak,b1164
383,Sigma38,Weak,b1165
384,Sigma38,Weak,b1166
385,Sigma38,Weak,b1167
386,Sigma38,Weak,b1197
387,Sigma38,Weak,b1198
388,Sigma38,Weak,b1199
389,Sigma38,Weak,b1200
390,Sigma38,Weak,b1201
391,Sigma38,Weak,b1234
392,Sigma38,Weak,b1235
393,Sigma38,Weak,b1241
394,Sigma38,Weak,b1257
395,Sigma38,Weak,b1258
396,Sigma38,Weak,b1259
397,Sigma38,Weak,b1276
398,Sigma38,Strong,b1283
399,Sigma38,Strong,b1284
400,Sigma38,Weak,b1285
401,Sigma38,Weak,b1296
402,Sigma38,Weak,b1297
403,Sigma38,Strong,b1298
404,Sigma38,Strong,b1299
405,Sigma38,Strong,b1300
406,Sigma38,Strong,b1301
407,Sigma38,Strong,b1302
408,Sigma38,Weak,b1377
409,Sigma38,Weak,b1378
410,Sigma38,Weak,b1407
411,Sigma38,Weak,b1440
412,Sigma38,Weak,b1441
413,Sigma38,Weak,b1442
414,Sigma38,Weak,b1443
415,Sigma38,Weak,b1444
416,Sigma38,Strong,b1453
417,Sigma38,Weak,b1469
418,Sigma38,Strong,b1473
419,Sigma38,Strong,b1480
420,Sigma38,Weak,b1482
421,Sigma38,Weak,b1483
422,Sigma38,Weak,b1484
423,Sigma38,Weak,b1485
424,Sigma38,Weak,b1486
425,Sigma38,Weak,b1487
426,Sigma38,Weak,b1488
427,Sigma38,Weak,b1492
428,Sigma38,Weak,b1493
429,Sigma38,Weak,b1513
430,Sigma38,Weak,b1514
431,Sigma38,Weak,b1515
432,Sigma38,Weak,b1516
433,Sigma38,Weak,b1517
434,Sigma38,Weak,b1518
435,Sigma38,Weak,b1519
436,Sigma38,Weak,b1597
437,Sigma38,Strong,b1611
438,Sigma38,Strong,b1646
439,Sigma38,Weak,b1661
440,Sigma38,Strong,b1669
441,Sigma38,Strong,b1670
442,Sigma38,Strong,b1671
443,Sigma38,Strong,b1672
444,Sigma38,Strong,b1673
445,Sigma38,Strong,b1674
446,Sigma38,Strong,b1676
447,Sigma38,Weak,b1712
448,Sigma38,Weak,b1723
449,Sigma38,Weak,b1732
450,Sigma38,Strong,b1744
451,Sigma38,Strong,b1745
452,Sigma38,Strong,b1746
453,Sigma38,Strong,b1747
454,Sigma38,Strong,b1748
455,Sigma38,Weak,b1749
456,Sigma38,Weak,b1857
457,Sigma38,Weak,b1896
458,Sigma38,Weak,b1897
459,Sigma38,Strong,b1900
460,Sigma38,Strong,b1901
461,Sigma38,Strong,b1967
462,Sigma38,Strong,b2068
463,Sigma38,Weak,b2074
464,Sigma38,Weak,b2075
465,Sigma38,Weak,b2076
466,Sigma38,Weak,b2077
467,Sigma38,Weak,b2078
468,Sigma38,Weak,b2079
469,Sigma38,Weak,b2097
470,Sigma38,Strong,b2128
471,Sigma38,Strong,b2129
472,Sigma38,Strong,b2130
473,Sigma38,Strong,b2131
474,Sigma38,Weak,b2163
475,Sigma38,Strong,b2212
476,Sigma38,Strong,b2213
477,Sigma38,Weak,b2344
478,Sigma38,Strong,b2369
479,Sigma38,Strong,b2370
480,Sigma38,Strong,b2417
481,Sigma38,Strong,b2446
482,Sigma38,Strong,b2447
483,Sigma38,Strong,b2464
484,Sigma38,Weak,b2465
485,Sigma38,Strong,b2501
486,Sigma38,Strong,b2502
487,Sigma38,Strong,b2552
488,Sigma38,Strong,b2570
489,Sigma38,Strong,b2571
490,Sigma38,Strong,b2572
491,Sigma38,Strong,b2573
492,Sigma38,Strong,b2659
493,Sigma38,Strong,b2660
494,Sigma38,Weak,b2661
495,Sigma38,Weak,b2662
496,Sigma38,Weak,b2663
497,Sigma38,Weak,b2665
498,Sigma38,Weak,b2687
499,Sigma38,Weak,b2696
500,Sigma38,Strong,b2733
501,Sigma38,Weak,b2912
502,Sigma38,Strong,b2922
503,Sigma38,Weak,b2937
504,Sigma38,Weak,b2965
505,Sigma38,Strong,b3012
506,Sigma38,Weak,b3035
507,Sigma38,Weak,b3037
508,Sigma38,Weak,b3038
509,Sigma38,Strong,b3044
510,Sigma38,Strong,b3045
511,Sigma38,Strong,b3046_1
512,Sigma38,Strong,b3046_2
513,Sigma38,Strong,b3047
514,Sigma38,Strong,b3048
515,Sigma38,Weak,b3049
516,Sigma38,Weak,b3073
517,Sigma38,Strong,b3360
518,Sigma38,Strong,b3361
519,Sigma38,Strong,b3362
520,Sigma38,Weak,b3392
521,Sigma38,Weak,b3393
522,Sigma38,Weak,b3394
523,Sigma38,Weak,b3395
524,Sigma38,Strong,b3428
525,Sigma38,Strong,b3429
526,Sigma38,Strong,b3430
527,Sigma38,Weak,b3491
528,Sigma38,Weak,b3494
529,Sigma38,Weak,b3508
530,Sigma38,Weak,b3509
531,Sigma38,Weak,b3510
532,Sigma38,Weak,b3512
533,Sigma38,Strong,b3513
534,Sigma38,Strong,b3514
535,Sigma38,Weak,b3515
536,Sigma38,Weak,b3516
537,Sigma38,Weak,b3517
538,Sigma38,Strong,b3519
539,Sigma38,Strong,b3524
540,Sigma38,Strong,b3555
541,Sigma38,Strong,b3588
542,Sigma38,Strong,b3612
543,Sigma38,Strong,b3613
544,Sigma38,Strong,b3614
545,Sigma38,Weak,b3700
546,Sigma38,Weak,b3701
547,Sigma38,Strong,b3740
548,Sigma38,Strong,b3741
549,Sigma38,Weak,b3862
550,Sigma38,Weak,b3911
551,Sigma38,Weak,b3912
552,Sigma38,Strong,b3929
553,Sigma38,Weak,b3961
554,Sigma38,Weak,b3995
555,Sigma38,Strong,b4061
556,Sigma38,Weak,b4111
557,Sigma38,Strong,b4149
558,Sigma38,Weak,b4189
559,Sigma38,Strong,b4217
560,Sigma38,Weak,b4233
561,Sigma38,Weak,b4326
562,Sigma38,Strong,b4354
563,Sigma38,Strong,b4411
564,Sigma38,Strong,b4460
565,Sigma38,Weak,b4480
566,Sigma38,Strong,b4596
567,Sigma54,Weak,b0045
568,Sigma54,Weak,b0240_1
569,Sigma54,Weak,b0240_2
570,Sigma54,Weak,b0319
571,Sigma54,Weak,b0331
572,Sigma54,Weak,b0333
573,Sigma54,Weak,b0334
574,Sigma54,Weak,b0335
575,Sigma54,Weak,b0450
576,Sigma54,Weak,b0451
577,Sigma54,Weak,b0473
578,Sigma54,Weak,b0652
579,Sigma54,Weak,b0653
580,Sigma54,Weak,b0654
581,Sigma54,Weak,b0655
582,Sigma54,Strong,b0809
583,Sigma54,Strong,b0810
584,Sigma54,Strong,b0811
585,Sigma54,Weak,b0854
586,Sigma54,Weak,b0855
587,Sigma54,Weak,b0856
588,Sigma54,Weak,b0857
589,Sigma54,Weak,b1006
590,Sigma54,Weak,b1007
591,Sigma54,Weak,b1008
592,Sigma54,Weak,b1009
593,Sigma54,Weak,b1010
594,Sigma54,Weak,b1011
595,Sigma54,Weak,b1012
596,Sigma54,Weak,b1218
597,Sigma54,Weak,b1296
598,Sigma54,Weak,b1304
599,Sigma54,Weak,b1305
600,Sigma54,Weak,b1306
601,Sigma54,Weak,b1307
602,Sigma54,Weak,b1308
603,Sigma54,Weak,b1483
604,Sigma54,Weak,b1484
605,Sigma54,Weak,b1485
606,Sigma54,Weak,b1486
607,Sigma54,Weak,b1487
608,Sigma54,Weak,b1488
609,Sigma54,Strong,b1744
610,Sigma54,Strong,b1745
611,Sigma54,Strong,b1746
612,Sigma54,Strong,b1747
613,Sigma54,Strong,b1748
614,Sigma54,Weak,b1783
615,Sigma54,Weak,b1784
616,Sigma54,Weak,b1891
617,Sigma54,Weak,b1892
618,Sigma54,Weak,b1988
619,Sigma54,Weak,b2184
620,Sigma54,Weak,b2221
621,Sigma54,Weak,b2222
622,Sigma54,Weak,b2223
623,Sigma54,Weak,b2224
624,Sigma54,Weak,b2306
625,Sigma54,Weak,b2307
626,Sigma54,Weak,b2308
627,Sigma54,Weak,b2309
628,Sigma54,Weak,b2310
629,Sigma54,Weak,b2470
630,Sigma54,Weak,b2481
631,Sigma54,Weak,b2482
632,Sigma54,Weak,b2483
633,Sigma54,Weak,b2484
634,Sigma54,Weak,b2485
635,Sigma54,Weak,b2486
636,Sigma54,Weak,b2487
637,Sigma54,Weak,b2488
638,Sigma54,Weak,b2489
639,Sigma54,Weak,b2490
640,Sigma54,Weak,b2491
641,Sigma54,Weak,b2492
642,Sigma54,Weak,b2710
643,Sigma54,Weak,b2711
644,Sigma54,Weak,b2712
645,Sigma54,Weak,b2713
646,Sigma54,Strong,b2717
647,Sigma54,Strong,b2718
648,Sigma54,Strong,b2719
649,Sigma54,Strong,b2720
650,Sigma54,Strong,b2721
651,Sigma54,Strong,b2722
652,Sigma54,Strong,b2723
653,Sigma54,Strong,b2724
654,Sigma54,Strong,b2725
655,Sigma54,Strong,b2726
656,Sigma54,Strong,b2727
657,Sigma54,Strong,b2728
658,Sigma54,Strong,b2729
659,Sigma54,Strong,b2730
660,Sigma54,Strong,b2731
661,Sigma54,Strong,b2784
662,Sigma54,Weak,b2866
663,Sigma54,Weak,b2867
664,Sigma54,Weak,b2868
665,Sigma54,Weak,b2878
666,Sigma54,Weak,b2879
667,Sigma54,Weak,b3227
668,Sigma54,Weak,b3268_1
669,Sigma54,Weak,b3268_2
670,Sigma54,Weak,b3269
671,Sigma54,Weak,b3270
672,Sigma54,Weak,b3271
673,Sigma54,Weak,b3421
674,Sigma54,Weak,b3422
675,Sigma54,Strong,b3461
676,Sigma54,Weak,b3476
677,Sigma54,Weak,b3477
678,Sigma54,Weak,b3478
679,Sigma54,Weak,b3479
680,Sigma54,Weak,b3480
681,Sigma54,Weak,b3481
682,Sigma54,Weak,b3521
683,Sigma54,Weak,b3673
684,Sigma54,Strong,b3686
685,Sigma54,Weak,b3800
686,Sigma54,Strong,b3868
687,Sigma54,Strong,b3869
688,Sigma54,Strong,b3870
689,Sigma54,Weak,b3902
690,Sigma54,Weak,b4002
691,Sigma54,Weak,b4003
692,Sigma54,Weak,b4004
693,Sigma54,Strong,b4050
694,Sigma54,Weak,b4067
695,Sigma54,Strong,b4079
696,Sigma54,Weak,b4475
697,Sigma70,Weak,b0001
698,Sigma70,Weak,b0002
699,Sigma70,Weak,b0003
700,Sigma70,Weak,b0004
701,Sigma70,Strong,b0019
702,Sigma70,Strong,b0020
703,Sigma70,Strong,b0025
704,Sigma70,Strong,b0026
705,Sigma70,Strong,b0027
706,Sigma70,Strong,b0028
707,Sigma70,Strong,b0029
708,Sigma70,Weak,b0031
709,Sigma70,Weak,b0032
710,Sigma70,Weak,b0033
711,Sigma70,Weak,b0034
712,Sigma70,Strong,b0035
713,Sigma70,Strong,b0036
714,Sigma70,Strong,b0037
715,Sigma70,Strong,b0038
716,Sigma70,Strong,b0039
717,Sigma70,Strong,b0040
718,Sigma70,Weak,b0041
719,Sigma70,Weak,b0042
720,Sigma70,Weak,b0043
721,Sigma70,Weak,b0044
722,Sigma70,Weak,b0048
723,Sigma70,Weak,b0054
724,Sigma70,Weak,b0058
725,Sigma70,Weak,b0059
726,Sigma70,Weak,b0060
727,Sigma70,Strong,b0061
728,Sigma70,Strong,b0062
729,Sigma70,Strong,b0063
730,Sigma70,Strong,b0064
731,Sigma70,Weak,b0066
732,Sigma70,Weak,b0067
733,Sigma70,Weak,b0068
734,Sigma70,Weak,b0069
735,Sigma70,Weak,b0070
736,Sigma70,Weak,b0071
737,Sigma70,Weak,b0072
738,Sigma70,Weak,b0073
739,Sigma70,Weak,b0074
740,Sigma70,Weak,b0075
741,Sigma70,Weak,b0076
742,Sigma70,Weak,b0077
743,Sigma70,Weak,b0078
744,Sigma70,Weak,b0081
745,Sigma70,Weak,b0082
746,Sigma70,Weak,b0083
747,Sigma70,Weak,b0084
748,Sigma70,Weak,b0085
749,Sigma70,Weak,b0086
750,Sigma70,Weak,b0087
751,Sigma70,Weak,b0088
752,Sigma70,Weak,b0089
753,Sigma70,Weak,b0090
754,Sigma70,Weak,b0091
755,Sigma70,Weak,b0092
756,Sigma70,Weak,b0093
757,Sigma70,Weak,b0094
758,Sigma70,Weak,b0095
759,Sigma70,Weak,b0096
760,Sigma70,Weak,b0106
761,Sigma70,Weak,b0107
762,Sigma70,Weak,b0108
763,Sigma70,Weak,b0112
764,Sigma70,Weak,b0113
765,Sigma70,Weak,b0114
766,Sigma70,Weak,b0115
767,Sigma70,Weak,b0116
768,Sigma70,Weak,b0118
769,Sigma70,Weak,b0120
770,Sigma70,Weak,b0121
771,Sigma70,Weak,b0122
772,Sigma70,Weak,b0124
773,Sigma70,Weak,b0125
774,Sigma70,Strong,b0131
775,Sigma70,Weak,b0133
776,Sigma70,Weak,b0134
777,Sigma70,Weak,b0139
778,Sigma70,Weak,b0140
779,Sigma70,Weak,b0142
780,Sigma70,Weak,b0143
781,Sigma70,Strong,b0144
782,Sigma70,Weak,b0145
783,Sigma70,Weak,b0146
784,Sigma70,Weak,b0150
785,Sigma70,Weak,b0151
786,Sigma70,Weak,b0152
787,Sigma70,Weak,b0153
788,Sigma70,Weak,b0157
789,Sigma70,Weak,b0158
790,Sigma70,Weak,b0159
791,Sigma70,Strong,b0166
792,Sigma70,Strong,b0169
793,Sigma70,Strong,b0170
794,Sigma70,Weak,b0171
795,Sigma70,Strong,b0172
796,Sigma70,Strong,b0185
797,Sigma70,Strong,b0194
798,Sigma70,Weak,b0197
799,Sigma70,Weak,b0198
800,Sigma70,Weak,b0199
801,Sigma70,Weak,b0225
802,Sigma70,Weak,b0226
803,Sigma70,Weak,b0231
804,Sigma70,Weak,b0232
805,Sigma70,Weak,b0233
806,Sigma70,Weak,b0234
807,Sigma70,Weak,b0237
808,Sigma70,Weak,b0238
809,Sigma70,Weak,b0239
810,Sigma70,Strong,b0241
811,Sigma70,Strong,b0273
812,Sigma70,Weak,b0277
813,Sigma70,Weak,b0293
814,Sigma70,Weak,b0296
815,Sigma70,Weak,b0311
816,Sigma70,Weak,b0312
817,Sigma70,Weak,b0313
818,Sigma70,Weak,b0314
819,Sigma70,Strong,b0315
820,Sigma70,Weak,b0330
821,Sigma70,Weak,b0336
822,Sigma70,Weak,b0337
823,Sigma70,Weak,b0338
824,Sigma70,Weak,b0339
825,Sigma70,Weak,b0340
826,Sigma70,Weak,b0341
827,Sigma70,Strong,b0342
828,Sigma70,Strong,b0343
829,Sigma70,Strong,b0344
830,Sigma70,Weak,b0345
831,Sigma70,Weak,b0346
832,Sigma70,Weak,b0347
833,Sigma70,Weak,b0348
834,Sigma70,Weak,b0349
835,Sigma70,Weak,b0350
836,Sigma70,Weak,b0351
837,Sigma70,Weak,b0352
838,Sigma70,Weak,b0382
839,Sigma70,Weak,b0383
840,Sigma70,Weak,b0384
841,Sigma70,Strong,b0388
842,Sigma70,Strong,b0389
843,Sigma70,Strong,b0390
844,Sigma70,Strong,b0396
845,Sigma70,Weak,b0397
846,Sigma70,Weak,b0398
847,Sigma70,Weak,b0399
848,Sigma70,Weak,b0400
849,Sigma70,Weak,b0411
850,Sigma70,Weak,b0413
851,Sigma70,Weak,b0414
852,Sigma70,Weak,b0415
853,Sigma70,Weak,b0416
854,Sigma70,Weak,b0417
855,Sigma70,Weak,b0418
856,Sigma70,Weak,b0419
857,Sigma70,Weak,b0420
858,Sigma70,Weak,b0421
859,Sigma70,Weak,b0422
860,Sigma70,Strong,b0428
861,Sigma70,Strong,b0429
862,Sigma70,Strong,b0430
863,Sigma70,Strong,b0431
864,Sigma70,Strong,b0432
865,Sigma70,Weak,b0433
866,Sigma70,Weak,b0434
867,Sigma70,Weak,b0435
868,Sigma70,Weak,b0437
869,Sigma70,Weak,b0438
870,Sigma70,Strong,b0440
