,component,TF,log_odds,pvalue,qvalue,precision,recall,f1score,TP,n_genes,n_tf
5,1,fnr,3.35481636075814,2.0127749729235882e-21,5.494875676081396e-19,0.7631578947368421,0.06196581196581197,0.11462450592885376,29.0,38,1.0
1,1,narL,3.2410909985697645,2.0271062620939113e-14,2.767000047758189e-12,0.39473684210526316,0.12195121951219512,0.18633540372670807,15.0,38,1.0
0,1,dcuR,5.101574133683096,4.606447075703502e-09,4.1918668388901864e-07,0.13157894736842105,0.5555555555555556,0.2127659574468085,5.0,38,1.0
2,1,molybdopterin,6.235563463598179,2.3972471369844776e-08,1.6361211709919059e-06,0.10526315789473684,0.8,0.18604651162790697,4.0,38,1.0
3,1,cueR,5.542185841742135,7.147032476962753e-08,3.902279732421663e-06,0.10526315789473684,0.6666666666666666,0.18181818181818182,4.0,38,1.0
4,1,modE,3.215196608268196,8.687490430050263e-08,3.952808145672869e-06,0.18421052631578946,0.15217391304347827,0.16666666666666666,7.0,38,1.0
6,2,narL,inf,1.6139716434483763e-08,4.406142586614068e-06,1.0,0.04065040650406504,0.078125,5.0,5,1.0
7,4,paaX,7.2818443791746565,4.439545217521153e-19,1.2119958443832746e-16,0.6666666666666666,0.5714285714285714,0.6153846153846153,8.0,12,1.0
11,4,crp,inf,6.523292739301747e-11,8.904294589146884e-09,1.0,0.0192,0.037676609105180524,12.0,12,1.0
8,4,Sigma19,7.688455356549944,1.615273643374387e-10,1.4698990154706922e-08,0.3333333333333333,0.8,0.47058823529411764,4.0,12,1.0
10,4,ihf,3.653854577278007,1.65978122076811e-08,1.1328006831742351e-06,0.6666666666666666,0.03587443946188341,0.06808510638297872,8.0,12,1.0
9,4,hypT,5.4893967576084,2.2829319857114103e-08,1.24648086419843e-06,0.3333333333333333,0.3076923076923077,0.32,4.0,12,1.0
13,5,crp,2.605303796952067,3.252276240780171e-14,8.878714137329868e-12,0.6842105263157895,0.0416,0.0784313725490196,26.0,38,1.0
12,5,gatR,inf,3.749317018138922e-11,5.117817729759628e-09,0.13157894736842105,1.0,0.23255813953488372,5.0,38,1.0
14,8,cpxR,3.940960255322744,2.042012790482298e-18,5.574694918016674e-16,0.375,0.23076923076923078,0.2857142857142857,15.0,40,1.0
15,9,gntR,7.975679238844797,2.4452776495293805e-20,6.6756079832152086e-18,0.7272727272727273,0.6666666666666666,0.6956521739130435,8.0,11,1.0
16,9,idnR,8.564153110279516,3.3104366312138764e-16,4.518746001606941e-14,0.5454545454545454,0.8571428571428571,0.6666666666666665,6.0,11,1.0
17,10,glpR,inf,0.0,0.0,1.0,1.0,1.0,9.0,9,1.0
18,10,crp,inf,2.3387768191068573e-08,3.1924303580808602e-06,1.0,0.0144,0.028391167192429023,9.0,9,1.0
19,14,lrp,4.412480768998011,1.7003881403059734e-46,4.642059623035307e-44,0.7636363636363637,0.2048780487804878,0.3230769230769231,42.0,55,1.0
20,15,nrdR,6.548792004525392,1.0329062603361937e-09,2.8198340907178087e-07,0.4444444444444444,0.4444444444444444,0.4444444444444444,4.0,9,1.0
