Geneid,phage__lbmm_t15__2,phage__lbmm_phage_t05__2,phage__lbmm_phage_t10__1,phage__lbmm_phage_t15__1,phage__lbmm_t10__1,phage__lbmm_t05__2,phage__lbmm_phage_t00__1,phage__lbmm_t05__1,phage__lbmm_t00__1,phage__lbmm_t10__2,phage__lbmm_phage_t15__2,phage__lbmm_phage_t00__2,phage__lbmm_phage_t05__1,phage__lbmm_t15__1,phage__lbmm_phage_t10__2,phage__lbmm_t00__2
b0001,1,0,41,24,3,0,1,6,4,3,0,0,32,1,0,1
b0002,334,782,4311,2232,2545,423,1361,2104,1378,335,848,1087,4333,1253,721,558
b0003,212,386,2726,1235,1535,243,575,692,615,279,516,1343,1466,753,764,671
b0004,285,483,3316,1727,1678,266,517,625,573,298,637,1889,1395,885,640,681
b0005,15,9,37,34,26,13,21,21,18,10,12,14,32,16,12,21
b0006,310,1143,1012,832,520,800,268,398,303,388,727,2406,815,406,804,1399
b0007,19,221,487,369,273,105,32,66,23,127,73,213,143,163,267,153
b0008,7560,16311,26913,23443,14250,9496,4538,7390,4425,7168,16201,21279,13763,12968,14034,10151
b0009,289,346,503,497,408,283,217,206,242,258,396,510,346,354,414,367
b0010,16,10,26,31,9,9,21,6,32,3,27,8,6,10,6,6
b0011,6,22,42,16,26,18,11,19,19,14,28,21,23,15,21,23
b0012,0,2,0,3,4,2,3,11,2,0,11,1,5,0,0,7
b0013,2,3,5,8,2,7,4,0,1,0,5,14,5,1,2,3
b0014,2177,3584,23907,31019,14632,1985,13167,7132,14566,1138,4577,9730,12472,15819,2189,4647
b0015,516,438,3808,5336,2015,314,2847,871,2994,195,768,894,1742,2593,301,543
b0016,434,215,840,1125,533,119,723,388,706,147,809,671,694,718,360,374
b0018,32,50,88,69,75,41,27,30,19,46,44,58,34,70,56,62
b4412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0019,388,743,805,711,412,388,419,306,371,273,1026,821,564,357,591,335
b0020,237,353,620,534,264,230,194,213,194,166,465,497,499,264,364,254
b0021,32,28,25,27,20,21,19,17,12,24,58,35,16,22,24,20
b0022,22,48,37,51,7,24,11,17,12,7,48,47,10,18,34,12
b0023,3564,3631,2646,3900,1040,2026,2259,887,2126,1394,7738,2692,2030,1933,3478,1250
b0024,0,15,15,15,10,5,4,3,3,6,9,11,2,15,17,14
b0025,2215,3392,7003,5038,3874,2236,1716,2379,1812,2220,4621,5298,4864,2619,3294,2656
b0026,6467,9648,17934,15219,10629,5028,4025,5017,4031,5425,13502,7388,10594,8468,10005,3631
b0027,426,531,962,984,471,327,247,168,212,264,960,607,452,448,632,223
b0028,460,618,898,809,464,344,248,216,223,253,1130,552,439,408,582,270
