Synonym,DDB1__HMP3396_03_M1_5h_fixedVol__1,DDB1__HMP3396_03_M1_5h_fixedconc__1,DDB1__HMP3396_03_M2_72h_fixedVol__1,DDB1__HMP3396_03_M2_72h_fixedconc__1,DDB1__HMP3396_11_M1_5h_fixedconc__1,DDB1__HMP3396_11_M2_16h_fixedVol__1,DDB1__HMP3396_11_M2_16h_fixedconc__1,DDB1__HMP3397_03_M1_5h_fixedconc__1,DDB1__HMP3397_03_M2_72h_fixedVol__1,DDB1__HMP3397_03_M2_72h_fixedconc__1,DDB1__HMP3397_11_M1_5h_fixedconc__1,DDB1__HMP3397_11_M2_16h_fixedVol__1,DDB1__HMP3397_11_M2_16h_fixedconc__1,DDB1__HMP3427_03_M1_5h_fixedconc__1,DDB1__HMP3427_03_M2_72h_fixedVol__1,DDB1__HMP3427_03_M2_72h_fixedconc__1,DDB1__HMP3427_11_M1_5h_fixedVol__1,DDB1__HMP3427_11_M1_5h_fixedconc__1,DDB1__HMP3427_11_M2_16h_fixedVol__1,DDB1__HMP3427_11_M2_16h_fixedconc__1
b0001,11.332570900561313,11.739419318051064,9.12964043022789,10.747439424005211,11.17257207807074,9.073688126386768,9.914890552797202,11.687192730275077,9.868703247870844,9.773353441573908,11.52898789744674,9.896769935318593,9.429028610538712,11.306313380538697,9.663634096437471,8.909361155264268,11.479131688000548,11.64103123028236,9.833317147338649,9.881923977071462
b0002,9.116256426472019,9.15265682728501,7.126111994799703,9.400380229359282,9.145073610901365,5.887982924539096,8.814758842649162,9.17085679212473,9.790688346894207,9.494831448971583,9.15036882110685,8.755821777052152,6.072754787952917,9.129690451785352,9.526509649674265,7.1258200452634695,9.18260657107651,9.03320498763079,9.16139904927566,9.126564181707185
b0003,9.016331727787218,9.007297582068857,6.867392354921239,8.99810331157019,8.932305426461989,5.6162870616816685,8.49205999923538,8.941250587421552,9.321112525543437,9.057794864318309,8.922153365332123,8.362131612395666,5.94735260345876,8.941409253416769,9.117276458071421,7.019699217207474,8.867352017176092,8.849020383243522,8.857712146707794,8.827599415565567
b0004,8.796317732356734,8.713920147384353,6.920382229069298,8.814063435137523,8.770749285407478,5.770782651687275,8.285318423053292,8.727721257884154,9.139808252483983,8.925907734568794,8.78087352514239,8.19169700474534,5.990375903982855,8.69861187389251,9.001035861623105,6.957185682569631,8.755762352882961,8.672697866473264,8.845589362626693,8.759581554504045
b0005,5.043494739684975,5.325945820371667,4.8774382449077365,5.534884241882139,4.955025110930384,3.7019259892406966,5.294973576696709,4.6831055673509185,4.5075250184965,4.85473933416148,4.714666139884838,4.994336241979047,3.90777637480511,4.701587672493522,4.926709158612089,4.524202554873162,4.573638096864285,4.865371857456546,5.449581847184165,5.280236169959963
b0006,6.453747209269488,6.307849259302231,5.409342705856249,5.732453544241597,6.297049738531694,5.532356712969149,5.432413677385,6.5273787314872305,5.58270763101462,5.383303835688122,6.482231817777983,5.5641321133887915,5.395532074846926,6.529507624791218,5.217348088378564,5.3440610408935445,6.544357132339085,6.572748831323947,5.41718252666668,5.486668888333003
b0007,2.6224555995934806,2.3552997249173035,2.42445763673867,2.138218844313496,2.6265524862207417,1.9154532007710827,1.5665866326630646,1.6539363639652642,2.9758279864181514,2.7697237744760814,2.381175114845093,1.5507350928872694,2.7232713007554117,2.419923236993148,2.135545948073655,2.926581026741294,2.418246498091539,2.6810576762364997,2.2874352246568734,2.3176878568496595
b0008,9.915193707453206,9.904188619245684,9.752617400974005,9.74160481582627,9.9061387775265,10.043583521125544,10.301044311879206,10.006041157802237,9.877506919857538,9.773353441573908,10.00287098872048,10.225679253371105,10.060112308095615,10.04023095432364,9.673661432611606,9.83845457465795,10.015637871768664,10.048147361405213,10.044256689177589,10.305314716651266
b0009,5.7444659434621155,5.87376581461743,5.679061226819227,5.732453544241597,5.776763207753031,5.910322292698323,5.8308099522379555,5.744142759907487,5.682533295461579,5.422985357130641,5.7727438525996355,5.704210472582185,5.736092314849912,5.704021179170018,5.875253540571529,5.689955894796681,5.924732490189075,5.666812906586658,5.864375595077135,5.925522169271688
b0010,4.212344360372003,4.499162016657874,4.580954985441823,4.63315654421897,4.134348489621667,4.284081228017826,3.974091559984303,3.414284310844989,4.271441321893826,4.112313566498974,4.069189502164404,4.121192984693906,4.076995758323338,4.202080861965774,4.491567544471578,4.453498101299505,4.200130641614911,4.014098625440452,3.959494717842338,3.901942438012506
