Geneid,DDB-I-SF-S1-001-A7,DDB-PD-038-AMBR-R10-S03,DDB-PD-038-AMBR-R10-S07,DDB-PD-038-AMBR-R11-S03,DDB-PD-038-AMBR-R11-S07,DDB-PD-038-AMBR-R11-S11,DDB-PD-038-AMBR-R12-S03,DDB-PD-038-AMBR-R12-S07,DDB-PD-038-AMBR-R12-S11,DDB-PD-038-AMBR-R5-S03,DDB-PD-038-AMBR-R5-S07,DDB-PD-038-AMBR-R5-S11,DDB-PD-038-AMBR-R6-S03,DDB-PD-038-AMBR-R6-S07,DDB-PD-038-AMBR-R6-S11,DDB-PD-038-AMBR-R7-S03,DDB-PD-038-AMBR-R7-S07,DDB-PD-038-AMBR-R7-S11,DDB-PD-038-AMBR-R8-S03,DDB-PD-038-AMBR-R8-S07,DDB-PD-038-AMBR-R8-S11,DDB-PD-038-AMBR-R9-S03,DDB-PD-038-AMBR-R9-S07
b0001,7.888090615968451,7.224364100324118,6.395423402259398,8.268824249772688,7.255067041174198,8.056252643987792,7.750899940206899,6.259797866969651,7.079266720680211,10.283477322912093,9.638254974413666,10.069056320480353,9.786752854857317,8.324354803174433,9.752221811003809,9.046815661301538,8.462006453303347,8.106889540148343,8.084192240274714,7.235941130631487,8.060273683683441,7.412360483766689,7.152016929883419
b0002,11.041159023819771,8.525765941550862,5.281418527726275,9.2863349343656,6.281911638656957,6.982736353761675,9.291794308099778,6.566433299621445,6.734830203779074,9.521468320055407,6.496459101927699,8.290508314246283,9.531682619745173,6.960354330857969,8.387125612753726,10.133418759459968,7.137533210952533,8.353098962643754,9.764024109021628,6.957262111264814,8.422522774663374,8.417107558338085,7.889984803558186
b0003,10.163346494779171,8.081865367564522,6.265025020068464,8.572495025674662,6.601964200325313,6.812043516012078,8.706246924612252,6.943389439649636,6.623977415817818,9.103195374986077,6.8092167458097945,8.037896810574281,9.024990729880727,7.289756880786691,8.029736476453019,9.630271993512086,7.325238331020724,8.068640089943548,9.009921578796748,6.8881218183909825,8.039209458064244,8.111315849281562,6.298304978585332
b0004,10.442582358264637,8.60336250574521,6.998922139489732,9.404929727501807,7.426573262563602,7.4920435191761685,9.326390592909577,7.52622819467392,7.07643944218723,9.551986366479035,7.070851400831597,8.468469851371257,9.521774413071178,7.676898459575937,8.39484133344147,10.044668744359148,7.675159317374157,8.644283342954838,9.903036607247325,7.566886432721469,8.549208268239195,8.59117343617057,7.712993136484016
b0005,5.352942371114814,4.000342064950783,2.2317196420130045,4.241819456183535,2.2470203521286773,2.9473652442036764,4.741694083508478,2.2689106970027795,2.6676390979865032,4.652212080475737,2.8904182051697935,2.747867869953889,4.2873168642954065,2.158283474160349,3.3248031360674304,5.209427925016038,2.8797470584372022,3.2907631288660473,4.0743928760061685,1.7377575319615994,3.0037891926145805,4.189716991625263,3.6244234372614805
b0006,6.517131488770008,6.638692279031943,6.622123257399171,6.286479963729128,5.934393074826932,5.980875026350086,6.235042818351864,5.711272762949237,5.468196724660866,6.549168550468943,5.645015461028342,5.83781188473486,6.333869680898616,5.708891797577029,5.878874327149698,6.269716197292246,5.721049668959758,6.033818424979608,6.3173032517681325,5.8666361089694306,5.778681636586095,6.877476282266766,6.832392495953227
b0007,3.3711954064493326,2.4221234470776922,2.3840736385065253,2.4060773202412595,2.4621980638818926,2.2374375139485294,2.9413912581578217,1.6140679625032766,2.3128142935699763,3.3577740845167385,3.677199773709806,3.414444630321031,2.8253607822640996,2.9689451555126825,2.8560326770588262,2.461712323241562,3.3293716862318132,2.8169228308964382,2.7850639369859143,3.3687179976261357,3.2106146669676616,2.195318075193354,2.6007507211164813
b0008,10.698639081984716,10.538489481525735,10.118860243027273,10.53722071087136,10.140567406902052,9.925741531009669,10.535758682127431,10.085691094208332,9.19367822854839,10.219338753861685,9.471018861055514,9.809453016371394,10.345504738118905,9.63422213255565,9.886770656243552,10.16686546863057,9.703976012609205,9.752369620257712,10.143587548539424,9.657803411343092,9.739333733453835,10.561898013279412,10.339952778532856
b0009,5.793043597327539,5.796099806470396,6.196902374949503,5.759590926834862,6.275417398859979,5.855306136144184,5.51977275799949,6.09041001783791,6.050687284842101,5.539149774980242,5.659013835421558,5.622558872774248,5.566737401134406,5.810239432511891,5.887902505609301,5.771080411093592,5.80921834984566,5.583432509279273,5.415775778268441,5.572589218907843,5.584632517698987,5.81869861077045,6.44066953841039
b0010,3.899425129081416,4.4635223468469425,3.711831990453416,3.3766410504653788,3.8426276729267217,3.66923020369671,3.130424043004351,2.4333931709325767,4.155951358127472,4.6058036841677525,5.334921852172409,5.085007043874986,4.102103912129933,4.592963149466481,4.849170517519157,3.739249291279077,4.423925534026131,4.2605644062262735,3.7120572302072596,5.062393519092247,5.091665376926366,4.253233173782749,4.0061930391312295
