Geneid,DDB-I-SF-S1-001-A5-RNAseq_S24,DDB-PD-005-AMBR-R1--S07-RNAseq_S7,DDB-PD-005-AMBR-R1--S10-RNAseq_S14,DDB-PD-005-AMBR-R2--S07-RNAseq_S6,DDB-PD-005-AMBR-R2--S10-RNAseq_S15,DDB-PD-005-AMBR-R3--S07-RNAseq_S8,DDB-PD-005-AMBR-R3--S10-RNAseq_S16,DDB-PD-005-AMBR-R4--S02-RNAseq_S1,DDB-PD-005-AMBR-R4--S07-RNAseq_S9,DDB-PD-005-AMBR-R4--S10-RNAseq_S17,DDB-PD-005-AMBR-R5--S02-RNAseq_S2,DDB-PD-005-AMBR-R5--S07-RNAseq_S10,DDB-PD-005-AMBR-R5--S10-RNAseq_S18,DDB-PD-005-AMBR-R6--S02-RNAseq_S3,DDB-PD-005-AMBR-R6--S07-RNAseq_S11,DDB-PD-005-AMBR-R6--S10-RNAseq_S19,DDB-PD-005-AMBR-R7--S02-RNAseq_S4,DDB-PD-005-AMBR-R7--S07-RNAseq_S12,DDB-PD-005-AMBR-R7--S10-RNAseq_S20,DDB-PD-005-AMBR-R8--S02-RNAseq_S5,DDB-PD-005-AMBR-R8--S07-RNAseq_S13,DDB-PD-005-AMBR-R8--S10-RNAseq_S21,DDB-PD-006-AMBR-R1--S02-RNAseq_S22,DDB-PD-006-AMBR-R1--S07-RNAseq_S30,DDB-PD-006-AMBR-R1--S10-RNAseq_S35,DDB-PD-006-AMBR-R2--S02-RNAseq_S23,DDB-PD-006-AMBR-R2--S10-RNAseq_S36,DDB-PD-006-AMBR-R5--S02-RNAseq_S25,DDB-PD-006-AMBR-R5--S07-RNAseq_S31,DDB-PD-006-AMBR-R6--S03-RNAseq_S26,DDB-PD-006-AMBR-R6--S07-RNAseq_S32,DDB-PD-006-AMBR-R7--S03-RNAseq_S27,DDB-PD-006-AMBR-R7--S07-RNAseq_S33,DDB-PD-006-AMBR-R8--S03-RNAseq_S28,DDB-PD-006-AMBR-R8--S09-RNAseq_S34,DDB-PD-006-AMBR-R9--S03-RNAseq_S29
b0001,14.113548197742627,11.813307783566042,9.590156287556486,11.673003364613285,10.05649897544214,11.591066446333175,10.03777767915841,11.255602490370881,9.604857957947587,10.618450330708027,11.723257135342976,7.609210151582247,10.511280627543503,11.940403359645316,9.425322598106748,11.098055167914941,12.257830372644667,13.355267066539039,11.16733592711459,12.41434668784924,8.99417963385238,10.138044747619217,11.412483478056616,8.493975800614741,8.227054529857133,12.69462535164078,9.747043543993039,9.369515770319312,8.698247079197035,9.443464695504899,0.0,9.600877043802836,9.234877584850743,10.152169350249483,8.998968045042435,10.326830802929894
b0002,10.623524692447763,7.692628532972019,8.54733369981443,7.490682600538245,8.464979771804252,7.7742632793873785,8.578899430641895,9.539872164584336,9.089647208401761,8.178996468382138,9.715285492746712,8.193574385100717,8.578373090656504,9.652809294472943,7.832251173908521,8.616236809104317,9.617363107600994,8.7217064213789,8.921884105174689,9.708574041804889,8.34828976039498,8.657030010044481,9.509578786676169,8.253743285462354,8.337324820875978,9.41447048195751,8.454997130098851,9.582122158997203,8.274975651861656,9.377805726747972,0.0,9.446532976561523,8.302501822704262,10.093414248326335,7.205443539110507,10.335971344794311
b0003,9.418476788165732,7.199251135561022,7.690616158790499,7.078559660344157,7.713328986854468,7.580229402782005,7.823896603142309,8.805352971894358,8.465760949301423,7.419619444745445,8.949500208393419,7.477878145510379,7.862025833234207,8.844557533852665,7.216479011289149,8.015327497881046,9.075749995128069,0.0,8.079901569142018,8.895714484229613,7.635171695850007,7.935032739001824,8.628401497989772,7.474633307130481,7.777432678123558,8.586055594965666,7.565013474289585,8.862255179602062,7.351003994620284,8.60545992889957,0.0,8.480662405041778,7.449754101650705,9.245815328921795,6.638490918502892,9.356474458392372
b0004,10.00227729469984,7.742921742520724,8.500588012431082,7.54769941851848,8.440274315476957,8.436809881544571,8.54874743964292,9.31486684678686,8.749026284558434,8.146441166709186,9.429468296824647,8.529762355074782,8.514477951433523,9.433981349457047,8.026009075077171,8.5779304723662,9.351664496280751,0.0,8.831480098682766,9.481434774276106,8.337196031548332,8.611076214404328,9.437908065740523,8.32961679475997,8.250124739895123,9.313148295495838,8.361819189969887,9.305043603198106,8.164802373660063,9.239407987138977,0.0,9.282031194765835,8.28156394551358,9.954741195490534,7.42633416738642,10.110090564764803
b0005,5.3639099269265476,2.9840854749791808,3.3658864613021993,3.717821350531838,3.695315216462119,2.4236361991503506,3.1025389937947865,4.938539793301416,2.2376974136498866,3.7635333453057322,5.417145529922896,4.009764941602715,4.04292904443245,5.1831051045163665,0.0,3.977687022072518,5.170176250454343,0.0,3.565427649806979,4.418435367468731,2.3195240078561072,3.31887044415537,4.685518492717633,2.616100826929728,3.3489008144046464,4.504306532883272,3.4274214023801868,4.538401453871087,2.913576788870499,4.681905729190787,0.0,4.206849459402297,2.5055171843545763,4.709723098188694,4.2296785957055105,5.967282338638638
b0006,6.690098951387689,5.797116669236098,5.419921845487326,5.42034510023975,5.879637410130057,5.765371278981703,5.391478237686179,6.189050398180887,5.664480028213719,5.346046641661802,6.29413917954204,5.400910264104271,5.6975919270375055,5.781849407693118,6.299319406267946,5.581358930208626,6.263492536363401,0.0,5.506766619726885,5.795455337174497,5.53183899126325,5.638910232386824,6.247506716019487,5.436516520042944,5.235877212001594,6.296384820188615,5.393396504852585,6.0603627678954926,6.00288394425169,6.841039609345442,0.0,6.685476923053149,5.876200666967515,6.969493799979985,6.145189561254449,7.2236412147506
b0007,3.607915812390899,3.4010979925940155,3.312684340025979,3.6752805351153404,3.652830233614316,3.6755727964968394,3.0505022321508974,3.7348655576991354,2.9176906602690833,3.635048330142356,3.7411969000809853,3.5547335677789285,3.0503180140107506,3.584852479964202,3.156429742578536,3.32125559449678,3.9570699518488994,0.0,3.6664745489060397,3.2420128794489953,3.6231994600827337,3.2941673320063214,3.325857551407137,3.40383343560163,2.6053948859544587,3.390658724353748,3.1566186968361465,2.7752956875197548,2.936993733048006,2.0818702944707805,0.0,2.5443705148689015,2.5834693722663378,4.1271513092178145,4.593453099189563,4.591707721603969
b0008,10.640771023123767,9.420615819133863,9.926811549289523,9.544242258947028,9.88167412360634,9.486198807538727,9.885370192035213,9.920273418499493,9.684838604540628,9.712010359867863,9.944772656736149,9.798731053237956,9.992537768233326,9.983179121015976,9.506430139902145,10.099845886170302,9.9749264092695,8.505652860380792,10.117239830284985,10.17287514854398,9.882319702727353,10.156369442267899,10.269459768970016,9.681064729244822,9.671800083559383,10.194009522962588,9.962948870504537,9.941275690331622,10.237046011800425,10.578999118502422,0.0,10.666927829059833,10.52099512046107,10.938720634451258,10.675568156799523,11.159698263726488
b0009,6.036180147720221,5.799562893390652,5.475579581111976,5.9155496930927365,5.772693198253695,5.266147488347513,5.7726016489106975,6.008855971333944,5.434179460281421,5.994427690964166,5.619911400212808,5.929817828789011,5.731657989085383,5.802478561761631,5.304909437527537,5.627643362002991,5.450580075561186,0.0,5.883395898751154,5.30776777363904,5.6648529125379135,5.715252105398785,5.765956006591724,5.811592886529392,5.950744253385171,6.110561838068947,5.626287237048051,6.031193303145584,5.765861196970536,6.268117644314312,0.0,6.113259448625772,5.745886405104798,6.880876965026248,6.821966510646884,6.877893270297124
b0010,3.6589388330093238,5.217500263832916,4.948021988684289,5.212832346722822,5.074647042779767,4.708847042487208,5.013722368402845,5.107213086881488,4.71738396753903,4.432567838717024,5.078401271454064,4.871080093561304,4.991818655755404,4.972847309033181,4.390873515963899,5.060184571783916,4.669527057924616,0.0,4.91379010056796,5.157881098766727,4.816671686086106,4.652906570192179,4.516624412603011,4.698021664118161,4.8749955516799925,4.7316818179049935,5.1639906101149915,5.104000897027347,4.509873062546146,4.782558797063228,0.0,4.44215852093772,4.340218234901363,5.747726366856187,6.186728329415763,5.095788455671342
b0011,2.5455378554910553,0.9696896734269392,1.2940453615385206,1.4253055318812489,2.2831631969563246,2.2115000977845054,2.0555045077999887,0.9628940049046721,2.282375225113538,1.8546607603410992,2.2386482942070933,2.6751119326749566,2.2822344528323955,2.0528324277793804,3.159118179547137,1.5449417437028408,1.7769063143699415,0.0,2.203764199335631,1.6414197822941754,1.0751458659449948,1.2376506656048893,1.8004469723507326,2.3114080351531165,2.6079254955899103,1.9637350196292562,1.8412343394987583,2.2326824191588144,1.8946329274925342,1.3896632078881224,0.0,1.5545770616807706,2.116427890603365,2.9717918608988705,1.791890942042061,2.6490243027563443
b0012,0.0,0.0,0.7749524288336258,1.797653177146149,0.0,0.0,1.1106805901363002,0.7632106792257906,0.0,0.0,1.4964656223752615,1.2135092584886125,1.177342739403432,0.0,0.0,1.7022813351235506,0.0,0.0,0.9131447815864338,0.0,0.0,0.3212491767609013,0.6051932360508245,0.0,0.0,0.9612578341240382,0.6249390456711028,0.9305362795387581,0.4468349295245172,0.0,0.0,0.0,0.494101162391019,1.472308704556965,1.141436707068919,0.6353175631575281
b0013,0.8281639641172369,2.1307053643845397,1.43654603061229,1.9898114510174512,1.55975798597007,0.0,0.7618681728444472,0.8771288574156864,1.2404325410050783,1.1065303981059935,0.0,0.0,0.8130805363794643,2.233053412877407,2.5012518703653717,1.23418907302288,1.6504300622120303,0.0,1.867674195878503,0.0,0.9823951358248277,1.135651175810384,1.1704622072163244,0.0,0.0,1.7105325098803463,1.2023547794633405,0.0,1.2059979349621117,0.0,0.0,0.0,1.304741587467398,1.2748427803544695,1.6648517856962028,1.2190111632353215
b0014,8.920658741914867,9.741370922436209,9.310773584090374,9.965666847029443,9.218447284273443,9.583551194768923,9.308394411286118,9.577322907594887,9.719537802666625,9.179685026189333,9.497409432471521,10.456490936771399,9.069355345830498,9.532812851598715,10.320111488822214,9.163227479226638,9.63988966963059,9.818415721565856,9.327719698628176,9.584232277077444,10.156826786611665,9.507357113895868,9.409153094510339,9.929617673544637,9.250386674479504,9.497970058286214,9.10785428435632,9.570069736600852,9.511485253492317,9.52118761499867,0.0,9.434539210442079,9.545899282470977,9.828729486379435,10.483561622831182,10.2316964432714
b0015,7.327878936502133,8.156707189293593,8.006051190812483,8.313467202876165,7.84863734780551,8.047940595407468,7.906314162483697,7.90206052705916,8.257291186747153,7.708322083444904,7.9742379509297985,8.925322675262496,7.678331217829346,7.888254616865063,8.582243976591254,7.766398848095276,8.08028681449377,0.0,7.941190320770013,8.118961304958972,8.590004257207768,8.071693152735515,8.018042851920871,8.364426775712683,7.819801153087133,7.939983882792795,7.912610258458913,8.034668528168941,8.134567029368897,8.149641036890795,0.0,8.117553385995006,7.941565743337526,8.309331765662542,8.761490536157218,8.623787376009874
b0016,4.84056032804221,5.539090279906803,5.303953248504478,5.69560021904786,5.371727686825181,5.607582430002467,4.936316553539074,5.670510266668264,5.895092808601016,4.944645013130196,5.606515834291867,5.78502380781719,5.374697527629571,5.589132329226392,5.382387470393328,5.272366184525055,5.753123381484679,0.0,5.708438743957056,5.288177515865313,5.612717484672949,5.297759396406015,5.511131302489322,5.701833618628376,5.014837676027813,5.545156330509734,5.637111909506492,5.645442964762964,7.13934090296145,7.913437594552311,0.0,8.078954294958018,7.61161205310771,5.780989392830793,6.004353373589938,5.951439442082365
b0018,3.317994067726909,5.069799070146475,4.485102386906469,3.6395624990151196,4.002501526250044,0.0,4.993610872222341,3.180837910671254,4.623660135699501,4.9027571335882145,2.382801761954696,2.828861780589587,4.690274156658402,2.191907118414144,5.2079782232410174,4.267432845112216,2.357760010401923,0.0,3.3501200825625115,3.0368675677970587,4.004889399958857,3.6489494784154903,1.7707573320905858,4.297173234797834,4.0775299411046,2.921232955774958,4.30889958718519,3.2306375136739844,3.765842859007024,2.2241628040277965,0.0,2.923609092060788,3.5106823883230263,2.695120830674216,3.2285304749293764,4.0325739068556885
